id,name,text,trans
0,オイゲン/欧根,くははっ！<br>またこうして、<br>隣で新年を迎えるたぁな。,库哈哈！又这样一起迎来新年了呢。
1,オイゲン/欧根,騎空団の奴らは、<br>もう一つの家族みてぇなもんだって<br>オレは思ってるんだ。,骑空团的大家也变得像是家人一样了呢。
2,オイゲン/欧根,だからよ、<br>お前さんが成長していく姿を<br>見るのが嬉しくてたまんねぇんだわ。,所以啊，看着你们成长的模样，我真是非常高兴啊。
3,オイゲン/欧根,おい、迷惑だなんて言って<br>年寄りの楽しみを奪うんじゃねぇぞ。,喂，别说觉得很麻烦然后剥夺老年人的乐趣啊。
4,オイゲン/欧根,あ？　アポロはいいのかって？,啊？你问就不看阿波罗了吗？
5,オイゲン/欧根,バカ野郎、<br>いいわけねぇに決まってるじゃねぇか。,笨蛋，怎么可能不看啊。
6,オイゲン/欧根,言われるまでもねぇ……<br>アイツとは正面から<br>向き合っていくさ……,不用你说……我也会去面对那家伙的……
7,オイゲン/欧根,こんなダメなオヤジでも……<br>それでもアイツの父親だからよ。<br>へへっ……,虽然我是个失败的家长……但也是那家伙的老爸啊。嘿嘿……
info,,,scene_s3_newyear_2007_v3_0_2001_3_3040077000
译者,,,
