id,name,text,trans
0-chapter_name,,漆黒の悪魔,漆黑的恶魔
0-synopsis,,ある時、王都から離れた辺境の村がジークフリートに滅ぼされた、という知らせが白竜騎士団の元へ届く。さらに、姬塔一行と行動を共にしていたはずのジークフリートは「しばらく艇を離れる」という手紙を残し、姿を消していた。ことのあらましを調査すべく、一行はランスロットとヴェインに連れられ、その件の村へと調査に向かう。,某日，白龙骑士团得知，在远离王都的边境，一个村庄被齐格飞毁灭了。而且，本来应该与姬塔一行人共同行动的齐格飞，也只留下了一封「我会暂时离开」的信，便不见了踪影。为了调查事情的经过，一行人和兰斯洛特以及维恩一起，前去调查发生事件的村庄。
0,,<span class='scene-font-katari'>紅蓮の炎に包まれ</span><br><span class='scene-font-katari'>激しく燃え盛る村。</span>,<span class='scene-font-katari'>鲜红的烈焰熊熊燃烧，</span><br><span class='scene-font-katari'>吞噬了村庄。</span>
1,ジークフリート　/齐格飞,…………,…………
4,村の男,ぐえっ……,呜……
6,ジークフリート　/齐格飞,…………,…………
9,村の女,うぎゃ……,啊啊……
11,,<span class='scene-font-katari'>轟々と爆ぜる炎。</span><br><span class='scene-font-katari'>ジークフリートの横顔が</span><br><span class='scene-font-katari'>不意に照らし出される。</span>,<span class='scene-font-katari'>爆炎传出了轰鸣声。</span><br><span class='scene-font-katari'>不经意间，</span><br><span class='scene-font-katari'>照亮了齐格飞的侧脸。</span>
12,ジークフリート　/齐格飞,…………,…………
13,,<span class='scene-font-katari'>悪魔のような禍々しい鎧に返り血を浴び、</span><br><span class='scene-font-katari'>茫然と立ち尽くすジークフリート。</span>,<span class='scene-font-katari'>齐格飞茫然地站在原地。</span><br><span class='scene-font-katari'>他那具如同恶魔一般不祥的铠甲沾满了别人的鲜血。</span>
14,怯える村人,<span class='scene-font-kokoro'>（ひいっ……あ、あれは……）</span>,<span class='scene-font-kokoro'>（咿……那、那是……）</span>
15,,<span class='scene-font-katari'>森の中へ消える剣士を、</span><br><span class='scene-font-katari'>物陰から目撃する村人。</span>,<span class='scene-font-katari'>村民躲在阴影中，</span><br><span class='scene-font-katari'>目击到了消失在林间的剑士。</span>
21,,<span class='scene-font-katari'>ある時、王都から離れた辺境の村が</span><br><span class='scene-font-katari'>ジークフリートに滅ぼされたという</span><br><span class='scene-font-katari'>知らせが白竜騎士団の元に届いた。</span>,<span class='scene-font-katari'>某日，白龙骑士团得知，</span><br><span class='scene-font-katari'>在离王都很远的边境，</span><br><span class='scene-font-katari'>有一个村庄被齐格飞毁灭了。</span>
22,,<span class='scene-font-katari'>ランスロットとヴェインは、</span><br><span class='scene-font-katari'>その惨状を訴えに訪れた</span><br><span class='scene-font-katari'>村人の話に耳を傾ける。</span>,<span class='scene-font-katari'>兰斯洛特和维恩正在听前来拜访的村民控诉。</span>
23,怯える村人,……俺は……村人達を殺戮して、<br>その場から逃げる人影を見たんだ……,……我看到了那个人影……<br>他在村庄大开杀戒，<br>并且当场逃跑了……
24,怯える村人,……あの禍々しい鎧に、巨大な剣、<br>あれはジークフリートで間違いない！,……那具不祥的铠甲，巨大的剑，<br>绝对是齐格飞！
25,,<span class='scene-font-katari'>村人の発言に、微かな動揺が</span><br><span class='scene-font-katari'>白竜騎士団の団員達を襲う。</span>,<span class='scene-font-katari'>面对村民的发言，一种微弱的不安</span><br><span class='scene-font-katari'>向白龙骑士团的团员们袭来。</span>
26,ランスロット/兰斯洛特,あの……<br>あなたを疑っている<br>訳では無いのですが……,那个……<br>我没有怀疑您的意思……
27,ランスロット/兰斯洛特,何かの見間違いという<br>可能性はありませんか？,有没有可能是您看错了呢？
28,ヴェイン/维恩,ほらほらお前達～！<br>そろそろ持ち場に戻れ～！,行了行了～！<br>你们也差不多该回岗位工作啦～！
29,,<span class='scene-font-katari'>団員に広がる動揺を察したヴェインは、</span><br><span class='scene-font-katari'>咄嗟にその場の人払いをする。</span>,<span class='scene-font-katari'>维恩察觉到了在团员之间散播开来的不安，</span><br><span class='scene-font-katari'>立刻把在场的人们打发走了。</span>
30,怯える村人,……信じてくれ！<br>俺は確かに見たんだ！,……请相信我！<br>我确确实实看到了！
31,ランスロット/兰斯洛特,…………,…………
