id,name,text,trans
0-chapter_name,,強い機体に、弱い心,強い機体に、弱い心在强大机体里的，是弱小的心
0-synopsis,,目覚めたペンギーは男によって牢に囚われていた。ペンギーに恨みがあるらしい男は、「すべてを救うことは不可能だ」とペンギーを絶望させるために乗っ取った機械兵で街を破壊していく。無力感に打ちひしがれるペンギー。そこに、昨日励ました少女と東海テイオー達が助けに現れる。ペンギーの活躍が人々に勇気を与えていたことを知ったペンギーは気力を取り戻し、戦いへ向かうのだった。,目覚めたペンギーは男によって牢に囚われていた。ペンギーに恨みがあるらしい男は、「すべてを救うことは不可能だ」とペンギーを絶望させるために乗っ取った機械兵で街を破壊していく。無力感に打ちひしがれるペンギー。そこに、昨日励ました少女と東海テイオー達が助けに現れる。ペンギーの活躍が人々に勇気を与えていたことを知ったペンギーは気力を取り戻し、戦いへ向かうのだった。
2,ペンギー,ん……ここは……,ん……ここは……企鹅：嗯……这里是……
3,,目覚めたペンギーは、\n拘束こそされていなかったが、\n厳重な牢の中にいた。,目覚めたペンギーは、\n拘束こそされていなかったが、\n厳重な牢の中にいた。醒来的企鹅发现/n自己虽然没有被绑住，/n但是关在密不透风的铁牢中。
4,,鉄格子の向こうでは、\n機械兵に乗り込んでいた男が\n悠然と立っている。,鉄格子の向こうでは、\n機械兵に乗り込んでいた男が\n悠然と立っている。在铁窗的对面，/n潜入机械兵的男人悠然的站在那里。
5,男,お目覚めか……\nちょうどショーが\n中盤に入ったところだ。,お目覚めか……\nちょうどショーが\n中盤に入ったところだ。男：你醒了啊……/n正好show已经进行到中盘了。
6,,男はニヤリと笑うと、\n窓の外を指し示す。,男はニヤリと笑うと、\n窓の外を指し示す。男人露出戏谑的笑容，/n指了指窗外。
10,機械兵,────！,────！机械兵：——！
22,ペンギー,ビッグちゃんに、\n街を壊させてるの……！？,ビッグちゃんに、\n街を壊させてるの……！？企鹅：big酱在破坏城市……！？
23,ペンギー,キミ……\nどうしてこんなことっ！？,キミ……\nどうしてこんなことっ！？企鹅：你……你究竟为什么/n要做这种事！？
24,男,ショーだと言っただろう？\n特等席で楽しんでくれ。,ショーだと言っただろう？\n特等席で楽しんでくれ。男：我说过是show了吧？/n你就在特等席好好看着吧。
25,男,ペンギーが守った街を、\nペンギーが作った機械兵が蹂躙する……\n素晴らしい見世物じゃないか！,ペンギーが守った街を、\nペンギーが作った機械兵が蹂躙する……\n素晴らしい見世物じゃないか！男：penguin保护的城市/n正在被penguin制造的机械兵破坏……/n多么绝妙的光景！
26,男,ああ、もちろん……\n無粋なセーフティは外させて貰ったよ。,ああ、もちろん……\n無粋なセーフティは外させて貰ったよ。男：当然，你那简单的安全系统已经被关掉了。
