id,name,text,trans
0-chapter_name,,刀神襲来,
0-synopsis,,見事、オクトーを倒した姬塔。オクトーと別れ、艇へと戻るがそこにはなぜかオクトーが居た。騎空艇から降りるつもりがないのを悟り、一行はオクトーという奇妙な道連れを得るのだった。,漂亮地赢过了奥克托的姬塔，和奥克托分开后回到了骑空艇上，可是在船上又再次遇见了奥克托。察觉到奥克托没有下去的打算，一行人从此开始与奥克托结伴同行。
0,オクトー/奥克托,……天晴！,
1,ルリア/露莉亚,姬塔っ！<br>大丈夫ですか、<br>ひどいケガしてませんか！？,姬塔！<br>还好吗<br>有没有受什么伤！？
2,ルリア/露莉亚,ふぅ……よかった、<br>大丈夫みたいですね……,呼……太好了<br>看起来没事……
3,ビィ/碧,はぁ……見てるだけで<br>息が詰まる戦いだったぜ……,哈……光是在旁边看着<br>都感觉心跳快要停了……
4,オクトー/奥克托,…………,
5,オクトー/奥克托,うぬらは、小石。,汝是 小石子。
6,ルリア/露莉亚,えっ……？,欸……？
7,オクトー/奥克托,されど、大きな渦を生む小石。,却是巨大漩涡中诞生的小石子。
8,ルリア/露莉亚,オクトーお爺さん、<br>それはどういう……,奥克托爷爷<br>这是什么意思……
9,オクトー/奥克托,…………,
11,ビィ/碧,えっと……刀の爺さん、<br>姬塔を<span class='scene-font-spword'>「八命切」</span>の<br>持ち主として認めてくれたのかぁ？,那个……用刀的爷爷<br>是认同姬塔作为<span class='scene-font-spword'>「八命切」</span>的<br>主人了吗？
12,ルリア/露莉亚,……あっ！　ここ、ケガしてますっ！<br>姬塔、騎空艇に戻って<br>手当てしましょう！,……啊！　这里有伤口！<br>姬塔，我们回骑空艇上<br>包扎一下吧！
14,,<span class='scene-font-katari'>オクトーと別れ、</span><br><span class='scene-font-katari'>グランサイファーに戻ってきた</span><br><span class='scene-font-katari'>姬塔達だったが……</span>,<span class='scene-font-katari'>和奥克托分开</span><br><span class='scene-font-katari'>姬塔等人回到了骑空艇上</span><br><span class='scene-font-katari'>但是在那里……</span>
16,シェロカルテ/榭洛科特,あ～、姬塔さん～<br>おかえりなさい～,啊～、姬塔小姐～<br>欢迎回来～
17,シェロカルテ/榭洛科特,帰りが遅いから心配しましたよ～<br>ねぇ、オクトーさん～？,这么久才回来真的担心坏了～<br>是吧，奥克托先生～？
18,オクトー/奥克托,…………,
19,ビィ/碧,あ、あれっ！？<br>刀の爺さん、なんでここにいるんだ！？,啊、啊！？<br>用刀的爷爷，为什么会在这里！？
20,オクトー/奥克托,我の求る戦いの道が<br>ここにあると悟った故。,我所追求的战斗之道<br>或许在这里会有线索。
21,ルリア/露莉亚,戦いの道……？<br>確かに、依頼で戦うことも<br>ありますけど……,战斗之道……？<br>确实有些委托是<br>要去战斗的……
22,オクトー/奥克托,うぬらの進む道、邪魔立てはせぬ。<br>気が向いた故、同道するだけのこと。,汝等前进之路，我不会阻碍。<br>只是心有所向，同路而已。
23,ビィ/碧,……って、もう胡坐掻いてるし、<br>こりゃ出てく気ねぇな……,……啊，都开始打坐了<br>看来完全不想走了啊……
23-sel1_txt,,<span class='scene-font-katari'>帝国とも戦うよ</span>,<span class='scene-font-katari'>要跟帝国的人战斗的</span>
23-sel2_txt,,<span class='scene-font-katari'>お爺ちゃん、無理は体に障りますよ</span>,<span class='scene-font-katari'>老爷爷，别太勉强啦</span>
24,オクトー/奥克托,委細問題無し。<br>我は我が望むままに<br>刀の道を進むのみ。,区区小节。<br>我只是按照心中所想<br>穷尽刀道。
25,オクトー/奥克托,一時それがうぬらの行く道と<br>交わるだけのことに過ぎぬ。,不过是一时<br>与汝等同行结伴而已。
26,オクトー/奥克托,くはは！　十天衆がひとり、<br>フュンフを思い出す物言いをする。<br>その胆力、悪くない。,咕哈哈！　十天众之一的芬芙<br>也会说出这种话来。<br>这胆量，不错。
27,オクトー/奥克托,刀の道を進みて滅ぶは、本望よ。<br>立ち止まり<br>我が身が錆びる方が恐ろしい。,穷尽刀道直至化为尘土才是本愿，<br>这可比停下脚步<br>荒废毕生所学要好上千百倍。
28,オクトー/奥克托,うぬらがいずれ何処へ行くとも、<br>力があるは邪魔にはなるまい。,不管汝等何时要去往何处<br>多一份力总不会是坏事。
29,ビィ/碧,うーん……騎空艇から<br>降りるつもりはねぇみてぇだなぁ,呜……看样子是<br>没打算要下去啊
30,ルリア/露莉亚,オクトーお爺さんくらい強い人が、<br>一緒に来てくれるなら心強いですよ。,有奥克托爷爷这么强的人一起<br>感觉放心多了。
31,ルリア/露莉亚," 姬塔も良いみたいですし、<br>お爺さん、好きなだけ<br>グランサイファーにいてください。"," 姬塔好像也不介意<br>爷爷，请随意地<br>留在格兰塞法上吧。"
32,,<span class='scene-font-katari'>こうして、姬塔一行は</span><br><span class='scene-font-katari'>十天衆オクトーという</span><br><span class='scene-font-katari'>奇妙な道連れを得た。</span>,<span class='scene-font-katari'>这就是姬塔等人与</span><br><span class='scene-font-katari'>十天众奥克托</span><br><span class='scene-font-katari'>之间奇妙的同行由来。</span>
33,,<span class='scene-font-katari'>ひたすらに刀の道を修めんとする</span><br><span class='scene-font-katari'>求道者は、姬塔達との旅で</span><br><span class='scene-font-katari'>何を見出すのだろうか……</span>,<span class='scene-font-katari'>一根筋修行刀道的求道者</span><br><span class='scene-font-katari'>在与姬塔等人一同的旅行中</span><br><span class='scene-font-katari'>会见到些什么呢……</span>
info,,,scene_fate_chr126_ep2
译者,,,
