id,name,text,trans
0,シルヴァ/席尔瓦,ハロウィンの時期は\nどこもかしこも賑やかで\n眺めているだけでも心が弾むな。,万圣节的时候\n不管哪里都这么热闹\n仅仅是眺望这些景色，都让我雀跃不已。
1,シルヴァ/席尔瓦,ふふ……姬塔も、\nククルとおかみさんが作った\n角と飾り、とても似合っているよ。,呵呵……姬塔也戴着\n库库鲁和老板娘一起做的\n角和饰品，很适合你。
2,シルヴァ/席尔瓦,ああ、私も用意してもらったから\nこれからつけるつもりだ。\nふふ、みんなでお揃いだな。,啊，我也有，\n正准备戴上呢。\n呵呵，这样大家就是一套了。
3,シルヴァ/席尔瓦,おっと……\nトリック・オア・トリートは\n少し待ってもらっても良いだろうか？,哦……\n不给糖·就捣蛋\n能不能再等一会呢？
4,シルヴァ/席尔瓦,これからクムユ達と一緒に\n街へ繰り出して、そこでお菓子を\n買ってくるつもりなんだ。,我正准备\n和库库鲁上街，\n去那里买点糖果。
5,シルヴァ/席尔瓦,美味しくて可愛らしいものを\n選んでくるから、\n楽しみにしていて……えっ？,我会选一些可爱\n又好吃的糖果的，\n你就等着吧……欸？
6,シルヴァ/席尔瓦,今トリック・オア・トリートを言えば\n悪戯一択……？\nい、いや、そうだが……！,刚刚的不给糖·就捣蛋\n已经算数了……？\n啊，是吗，原来如此……！
7,シルヴァ/席尔瓦,う、うわぁっ！？\n姬塔っ！！\n大人をからかうのはやめなさ～い！！,唔，哇啊！？\n姬塔！！\n不要戏弄大人～！！
info,,,scene_s5_halloween_3041_v3_0_2004_5_3040291000
译者,,,
