id,name,text,trans
0-chapter_name,,応えろ、相棒,回应我吧，搭档
0-synopsis,,ロベリアの音魔術によって蘇生したタワーは、胎動する世界の力の一部を支配下に置きロベリアを再び蘇生させる。相棒である互いを破壊するまで満たされることはない、と新たな境地に達したふたりは、新たな力で胎動する世界を追い詰める。危機感を覚えた胎動する世界はロベリアとザ・タワーを自身の世界から弾き出し、ふたりは姬塔達と合流を果たすのだった。,利用罗贝利亚的音魔术复活的塔，支配了一部分胎动中的世界的力量，让罗贝利亚再次复活。二人在破坏身为搭档的彼此之前都不会得到满足，到达新境地的两人，用新的力量胁迫胎动中的世界。感到危机的胎动中的世界将罗贝利亚和塔从自己的世界中驱逐，二人最终与姬塔等人合流。
1,,今際の際。\n途切れていく幻覚にも近い、\nロベリアの世界の中で。,此刻，临近生命终结之际。\n罗贝利亚的意识变得模糊，\n在他那接近幻觉的世界中。
2,,ロベリアの音魔術により\n蘇生したタワーは、\n消えかける友人を見下ろす。,通过罗贝利亚的音魔术而复活的塔，\n俯视着即将消散的友人。
3,ザ・タワー/The・Tower,ロベリア。,罗贝利亚。
4,ロベリア/罗贝利亚,…………,…………
5,ザ・タワー/The・Tower,満たされたか、\n幸福だったか。\n再三、問うてきたな。,感到满足了吗、\n感到幸福了吗。\n你曾多次、问过我这些问题。
6,ザ・タワー/The・Tower,逆に問おう。\nお前と幸福の音を共有した私が、\n満たされていないと思うのか？,那我现在反过来问你。\n你觉得曾与你共享幸福之声的我，\n真的没有感到满足吗？
7,ロベリア/罗贝利亚,…………,…………
8,ザ・タワー/The・Tower,善人、悪人、聖人、咎人、貧民、富豪。\n子供、大人、女、男、村、町、国、島。,善人、恶人、圣人、罪人、贫民、富豪。\n孩童、大人、女人、男人，村庄、城镇、国家、岛屿。
9,ザ・タワー/The・Tower,形あるもの、命あるもの。\n全て壊してきた。\n素晴らしい、破壊だった。,凡有形之物，有生命之物。\n我等尽皆破坏。\n此乃绝妙的、破坏。
10,ザ・タワー/The・Tower,……素晴らしいと思うはずのない私が、\nいつの間にかに、お前の破壊を……\n愛でる心が生まれていた。,……本不该感受到这般美妙的我，\n在不知不觉间，对你的破坏……\n竟然心生爱意。
11,ザ・タワー/The・Tower,私はお前のおかげで役目を果たせた。\nお前のおかげで破壊に幸福を見出した。,多亏了你，我完成了自己的使命。\n也多亏了你，我在破坏中找到了幸福。
12,ザ・タワー/The・Tower,これで満たされてないと、\nお前は思うのか……？,你还认为、\n我没有感到满足吗……？
13,ロベリア/罗贝利亚,…………,…………
14,ザ・タワー/The・Tower,さらにはお前に心と意思を与えられ、\n新たな命も、声も与えられ……\nこれで本気で私が満たされていないと？,而且，是你赋予了我心智和意志，\n赋予了我新的生命和声音……\n你还是真心认为我没有感到满足？
15,ロベリア/罗贝利亚,…………,…………
16,,ロベリアは応えない。\nただその存在をゆっくりと、\n空に溶かしていく。,罗贝利亚没有回应。\n他的存在缓缓消散，\n逐渐溶入空气之中。
17,ザ・タワー/The・Tower,ロベリア……\n答えろ。,罗贝利亚……\n回答我。
18,ザ・タワー/The・Tower,答えろ！！！！,回答我！！！！
