id,name,text,trans
0-chapter_name,,思わぬプロポーズ,
0-synopsis,,サブリナは、突如ラドリス王国の第一王子であり幼なじみのセオドリクに求婚される。思ってもみなかった出来事にサブリナは返事を保留してしまい、友人のエイヴァに相談することになる。セオドリクが大切な人であることに違いはないものの、自身のセオドリクへの想いが恋愛に類するものなのか悩むサブリナ。しかしエイヴァに背を押され、サブリナは結婚を前向きに考えだすのだった。,
5,サブリナ,──え？,
6,,驚愕に目も口もぽかんと開いた\nサブリナは、目の前の人物をただ茫然と\n見つめることしかできなかった。,
7,サブリナ,えっと、あの……,
8,,たっぷり数十秒は沈黙した後\nやっとのことでぱくぱくと\n唇を動かす。,
9,サブリナ,すみません、殿下……\nもう一度言ってもらっても……？,
10,セオドリク,ああ、何度だって言うよ、サブリナ。,
11,セオドリク,ぼくと結婚してほしい、と\n言ったんだよ。\n愛しいサブリナ。,
17,サブリナ,はっ！\nやぁっ！！,
18,,ラドリス王国、騎士団の鍛練場で\n騎士団長であるサブリナは\nひとり、闇雲に剣を振るっていた。,
19,サブリナ,はぁ……はぁ……,
20,サブリナ,ダメだ……まるで集中できてない。,
21,,サブリナは、額に浮かんだ\n汗をぬぐって溜息をつく。,
22,サブリナ,セオドリクがあんなこと言うから……,
25,セオドリク,──愛しいサブリナ。,
28,サブリナ,……いや、なんで！？\n<span class='scene-font-4'>なんで急にああなる！？</span>,
29,サブリナ,今まで、そんなそぶりは\nなかったのに……,
30,サブリナ,いや……\nなかった……よね？\n<span class='scene-font-2'>なかった……はず……</span>,
31,,己が、色恋沙汰には疎い自覚がある\nサブリナの独り言ちる声は、\n自信なさげにしぼんでいく。,
32,サブリナ,はぁ……オレはいったい\nどうしたら……,
33,サブリナ,（剣を交えている時なら、\nどんな状況にだってとっさに\n対応できる自信があるのに……）,
34,サブリナ,（こんな急なプロポーズ、\nどうしたらいいのかわからないよ……),
37,？？？,サーブリナ！,
38,サブリナ,あ……エイヴァ。,
39,,鍛練場に顔を出したのは\nサブリナの親友である\nエイヴァだった。,
40,エイヴァ,今日もひとりで鍛練？\n精が出るわね。\nお邪魔かしら？,
41,サブリナ,ううん、大丈夫。\nちょうど、集中できてなかったし……,
42,エイヴァ,集中できてない？\n珍しいこともあるのね。\n何かあった？,
43,サブリナ,いや、別に何も……ないけど？,
44,エイヴァ,ふーん……,
45,エイヴァ,嘘ね。,
46,サブリナ,うううぅ……,
47,エイヴァ,その顔は絶対に何かあった顔！,
48,サブリナ,か、顔！？,
49,エイヴァ,そうよ、見ればわかるわ。\nサブリナが私に隠し事できる\nわけないでしょ。,
50,エイヴァ,何があったの？\nラドリスの騎士団長様を\n悩ませている出来事はなに？,
51,エイヴァ,白状しちゃいなさい！,
52,サブリナ,う……誰にも、言わない？,
53,エイヴァ,あなたがそうして欲しいなら。,
54,サブリナ,じゃあ……\nぜったいにオレ達だけの\n秘密ってことで。,
55,エイヴァ,そうしましょ。\nだからほら。話して。,
56,サブリナ,……わかった。\n実は──,
62,エイヴァ,──セオドリク殿下からの\nプロポーズ！？,
63,サブリナ,エイヴァ！\n声が大きい！,
64,エイヴァ,すごいわ、サブリナ。\nそれってあなた、ラドリスの\nお姫様になるってことじゃない！,
65,エイヴァ,サブリナおめでとう！,
66,サブリナ,いや、待ってエイヴァ。\nまだ決まったことじゃないから……,
67,エイヴァ,え、どういうことよ。\nあなたまさか、返事……,
68,サブリナ,……保留中。,
69,エイヴァ,はあ？　保留ってあなた……\n相手は王子様なのよ？,
70,サブリナ,だって、すぐに返事なんて\nできなくてぇ……,
71,サブリナ,ん？　ひょっとして……\n平民のオレに選択の余地なんて\nそもそもなかった……！？,
72,エイヴァ,普通はね。\nでも、殿下はそれを\n許してくださったんでしょう？,
73,サブリナ,ああ、笑ってて……\n待つって……,
74,エイヴァ,ふふ……殿下は\n本当にサブリナのことを\n想っていらっしゃるのね。,
75,サブリナ,想って……？,
76,エイヴァ,だって殿下は、王子という立場にも\n関わらず、ちゃんとサブリナの気持ちを\n尊重して、待ってくださるのよ？,
77,エイヴァ,それこそ、\n殿下のお気持ちの証拠じゃない。\n本当にサブリナのことが好きなのよ。,
78,サブリナ,好き……セオドリクが、\nオレを好き、ねぇ……,
79,,いまいちピンとこない、という様子で\n唸るサブリナに、エイヴァは\n呆れたように溜息をつく。,
80,エイヴァ,サブリナ……あなたは\nセオドリク殿下のことが\n好きじゃないの？　嫌いなの？,
81,サブリナ,嫌いなわけない！,
82,サブリナ,好きだよ、そりゃあ。\nあいつは幼なじみで……,
83,サブリナ,オレが本当につらい時にも、\nけっこう気遣ってくれたしね。\n感謝してるよ。,
84,エイヴァ,ご両親が亡くなった時ね。,
85,サブリナ,……うん。,
86,サブリナ,セオドリクっておしゃべりで、\n余計なことをぺらぺら流暢に\n話してばっかりで……,
87,サブリナ,本当に言いたいことは\n何なんだ？　って時々思う。\nでもあの時は……,
88,サブリナ,両親が死んでいくらも経たない\n頃だったと思うけど、殿下から\n急に護衛を申し渡されて……,
94,セオドリク,綺麗な場所だろう？,
95,サブリナ,はい……そうですね。,
96,サブリナ,殿下は、ここになんのご用で……？,
97,セオドリク,別に何も。,
98,セオドリク,たまにはいいだろう？\n少しのんびりしたいんだ。\n付き合って欲しい。,
99,セオドリク,きみがいれば、安心だしね。,
100,サブリナ,はあ……,
101,セオドリク,ふたりきりなんだから、\n昔みたいにしゃべればいいよ。,
102,サブリナ,うん……,
103,セオドリク,…………,
104,サブリナ,…………,
105,セオドリク,この場所を知っているのは\nぼくときみだけだよ。,
