id,name,text,trans
0-chapter_name,,女獅子の強さの理由,女獅子の強さの理由
0-synopsis,,荷造りが終わらないまま数日が過ぎ、レオナは自分の隊を連れてグロース島付近の島を訪れる。その島は先日の幽世の騒動の影響を受けてか狂暴化した魔物の被害に遭っており、レオナ達は魔物討伐に来たのだ。魔物の群れを兵士達に任せた後、大型の魔物をいとも簡単に倒すレオナに部下の兵士達は圧倒されるのだった。,荷造りが終わらないまま数日が過ぎ、レオナは自分の隊を連れてグロース島付近の島を訪れる。その島は先日の幽世の騒動の影響を受けてか狂暴化した魔物の被害に遭っており、レオナ達は魔物討伐に来たのだ。魔物の群れを兵士達に任せた後、大型の魔物をいとも簡単に倒すレオナに部下の兵士達は圧倒されるのだった。
1,,旅立ちに向けた荷造りも\n終わらないまま、\n数日が過ぎたとある日──,旅立ちに向けた荷造りも\n終わらないまま、\n数日が過ぎたとある日──
2,,レオナは自分の隊に所属している\nイデルバの兵士を引き連れて、\nグロース島付近の島を訪れていた。,レオナは自分の隊に所属している\nイデルバの兵士を引き連れて、\nグロース島付近の島を訪れていた。
3,兵士１/士兵１,ここにも魔物が出たか……\nこのところ、\n討伐依頼が増えていますね。,ここにも魔物が出たか……\nこのところ、\n討伐依頼が増えていますね。
4,レオナ/蕾欧娜,あの騒動からですね。\n以前よりも明らかに\n魔物が凶暴になっています。,あの騒動からですね。\n以前よりも明らかに\n魔物が凶暴になっています。
7,,いまより少し前、\nナル・グランデ空域の空を\n幽世の軍勢が黒く染めた。,いまより少し前、\nナル・グランデ空域の空を\n幽世の軍勢が黒く染めた。
9,,幽世の軍勢自体は東海テイオー達の\n活躍により元居た場所へと\n退いていったのだが……,幽世の軍勢自体は東海テイオー達の\n活躍により元居た場所へと\n退いていったのだが……
12,レオナ/蕾欧娜,幽世の存在は退けたものの、\n彼らが纏っていた異様な気配は\nまだ残っています。それが原因かも……,幽世の存在は退けたものの、\n彼らが纏っていた異様な気配は\nまだ残っています。それが原因かも……
13,レオナ/蕾欧娜,……厄介ですね。,……厄介ですね。
14,レオナ/蕾欧娜,この島は交易拠点のひとつ。\n自衛の戦力は整っていたはず……,この島は交易拠点のひとつ。\n自衛の戦力は整っていたはず……
15,レオナ/蕾欧娜,現れた魔物は、\n一筋縄でいく相手ではないでしょう。\n気を引き締めて臨んでください。,現れた魔物は、\n一筋縄でいく相手ではないでしょう。\n気を引き締めて臨んでください。
16,兵士達,はっ！,はっ！
18,魔物の群れ/魔物群,ガルルルル……！,ガルルルル……！
19,レオナ/蕾欧娜,<span class='scene-font-4'>会敵！</span>\n横陣展開！　迎撃します！,<span class='scene-font-4'>会敵！</span>\n横陣展開！　迎撃します！
20,レオナ/蕾欧娜,はぁああーっ！,はぁああーっ！
23,魔物の群れ/魔物群,ギャウ……,ギャウ……
24,兵士１/士兵１,それっ！,それっ！
29,,レオナと兵士達は\n手際よく魔物の群れを倒していく。,レオナと兵士達は\n手際よく魔物の群れを倒していく。
38,兵士１/士兵１,群れの殲滅を確認……\nあっけないものですね。,群れの殲滅を確認……\nあっけないものですね。
39,レオナ/蕾欧娜,いえ……\n他にもまだ群れがあるか、\nもっと大型の魔物がいるはずです。,いえ……\n他にもまだ群れがあるか、\nもっと大型の魔物がいるはずです。
40,レオナ/蕾欧娜,この程度の魔物なら、\n島の戦力で対処に困る相手では\nありません。,この程度の魔物なら、\n島の戦力で対処に困る相手では\nありません。
41,レオナ/蕾欧娜,臨戦態勢を保ってください。\n各自、警戒を……,臨戦態勢を保ってください。\n各自、警戒を……
48,大型の魔物,グオオオーーッッ！！,グオオオーーッッ！！
49,兵士２/士兵２,何だ、あれは！？\nひと際大きいのが来たぞ！,何だ、あれは！？\nひと際大きいのが来たぞ！
50,レオナ/蕾欧娜,やっぱり……！,やっぱり……！
51,レオナ/蕾欧娜,陣形転換、鶴翼！\n守りを固め、機をうかがいます！,陣形転換、鶴翼！\n守りを固め、機をうかがいます！
52,兵士２/士兵２,はっ！,はっ！
53,大型の魔物,グガアアアーーッッ！！,グガアアアーーッッ！！
54,兵士２/士兵２,なっ！\n速い……！,なっ！\n速い……！
55,,まだ陣形を取りきらないうちに、\n大型の魔物は隊から離れた位置にいた\n兵士に襲い掛かる。,まだ陣形を取りきらないうちに、\n大型の魔物は隊から離れた位置にいた\n兵士に襲い掛かる。
56,兵士２/士兵２,くそ！\n……おりゃあっ！,くそ！\n……おりゃあっ！
61,兵士２/士兵２,しまった……！　剣が！,しまった……！　剣が！
63,,突き出した剣は魔物の爪であしらわれ、\n勢い余って兵士の手を離れて\n遠くに落ちてしまう。,突き出した剣は魔物の爪であしらわれ、\n勢い余って兵士の手を離れて\n遠くに落ちてしまう。
64,大型の魔物,グガアアアーーッッ！！,グガアアアーーッッ！！
65,,孤立し、抵抗の術を奪われた\n兵士に鋭い爪が振り下ろされる。,孤立し、抵抗の術を奪われた\n兵士に鋭い爪が振り下ろされる。
66,レオナ/蕾欧娜,はぁああぁぁああッッッ！！,はぁああぁぁああッッッ！！
72,,しかし凶悪な爪は\nレオナの得物によって弾かれ、\n兵士はことなきを得るのだった。,しかし凶悪な爪は\nレオナの得物によって弾かれ、\n兵士はことなきを得るのだった。
73,兵士２/士兵２,レオナ様……！,レオナ様……！
74,レオナ/蕾欧娜,いまのうちです！\n早くあちらの陣に合流してください。,いまのうちです！\n早くあちらの陣に合流してください。
75,兵士２/士兵２,は、はぁっ！,は、はぁっ！
77,魔物の群れ/魔物群,グルルルル……,グルルルル……
78,兵士１/士兵１,新たな群れの接近を確認！\nこの大型の魔物が群れを\n率いていたものと思われます。,新たな群れの接近を確認！\nこの大型の魔物が群れを\n率いていたものと思われます。
79,レオナ/蕾欧娜,下手に親玉を倒せば群れは散り散り……\n取りこぼせば、\n魔物が街に入り込むかもしれません。,下手に親玉を倒せば群れは散り散り……\n取りこぼせば、\n魔物が街に入り込むかもしれません。
