id,name,text,trans
0-chapter_name,,黄金の輝き,黄金の輝き
0-synopsis,,ある日、アリアは城内で忙しそうなアニシダとハイラックを見つける。開拓のためアマト・グランデ空域の小島を訪れた隊が魔物に襲われ、協力を求めてきたという。アリアはアニシダとハイラックを激励し、任務に戻るふたりを見送るのだった。,ある日、アリアは城内で忙しそうなアニシダとハイラックを見つける。開拓のためアマト・グランデ空域の小島を訪れた隊が魔物に襲われ、協力を求めてきたという。アリアはアニシダとハイラックを激励し、任務に戻るふたりを見送るのだった。
1,,ある日、アリアは城内で\nまたしても\nアニシダとハイラックに遭遇する。,ある日、アリアは城内で\nまたしても\nアニシダとハイラックに遭遇する。
2,,しかし、以前とは違い、\n漫然と警備を務めている様子には\n見えない。,しかし、以前とは違い、\n漫然と警備を務めている様子には\n見えない。
3,アリア/阿莉亚,なにやら忙しそうですね。\nなにがあったのですか？,なにやら忙しそうですね。\nなにがあったのですか？
4,ハイラック/海拉克,はっ……\n急遽、他の隊から\n協力を要請されまして……,はっ……\n急遽、他の隊から\n協力を要請されまして……
5,ハイラック/海拉克,明朝、アマト・グランデ空域へ\n発つことになっております。\nいまはその準備を。,明朝、アマト・グランデ空域へ\n発つことになっております。\nいまはその準備を。
6,アリア/阿莉亚,協力の要請が……？\nただ事ではないようですね。,協力の要請が……？\nただ事ではないようですね。
7,,詳細を問うアリアに対し、\nハイラックは途端に\n歯切れを悪くして答える。,詳細を問うアリアに対し、\nハイラックは途端に\n歯切れを悪くして答える。
8,ハイラック/海拉克,その……本来であれば、\n殿下のお耳に入れるようなことでは\nないのですが……,その……本来であれば、\n殿下のお耳に入れるようなことでは\nないのですが……
9,ハイラック/海拉克,協力を要請してきた隊は、\nアマト・グランデ空域の、\nある小島の開拓を任されていました。,協力を要請してきた隊は、\nアマト・グランデ空域の、\nある小島の開拓を任されていました。
10,ハイラック/海拉克,しかし、\nそこで複数の兵士が魔物に襲われ、\nやむなく撤退したということで……,しかし、\nそこで複数の兵士が魔物に襲われ、\nやむなく撤退したということで……
11,ハイラック/海拉克,瘴流域を渡るため同行していた\n緑の騎士は別の任務で動けず、\nそこで我々に協力を求めてきまして……,瘴流域を渡るため同行していた\n緑の騎士は別の任務で動けず、\nそこで我々に協力を求めてきまして……
12,アリア/阿莉亚,魔物、ですか。,魔物、ですか。
13,ハイラック/海拉克,命こそ助かったものの、\n襲われた兵達の記憶はあいまいで\n魔物の分析すら満足にできておらず……,命こそ助かったものの、\n襲われた兵達の記憶はあいまいで\n魔物の分析すら満足にできておらず……
14,ハイラック/海拉克,個体数も種類も不明……\n誉れ高きイスタバイオン王国兵が\nあまりにも情けない……,個体数も種類も不明……\n誉れ高きイスタバイオン王国兵が\nあまりにも情けない……
15,ハイラック/海拉克,備品の紛失まで発生したとかで、\n奴らはイスタバイオン王国の名に\nあぐらをかいていたようです。,備品の紛失まで発生したとかで、\n奴らはイスタバイオン王国の名に\nあぐらをかいていたようです。
16,アニシダ/阿尼希妲,まーまー！\nアタシらがさっさと解決して、\n名誉挽回すれば問題ないでしょ。,まーまー！\nアタシらがさっさと解決して、\n名誉挽回すれば問題ないでしょ。
17,ハイラック/海拉克,え……？\nあ、もちろんそのつもりですが……,え……？\nあ、もちろんそのつもりですが……
18,アリア/阿莉亚,気を引き締めなさい。\n軍の不名誉はそのまま\n王国の不名誉となります。,気を引き締めなさい。\n軍の不名誉はそのまま\n王国の不名誉となります。
19,ハイラック/海拉克,あ……はっ！\n承知いたしました！,あ……はっ！\n承知いたしました！
20,アリア/阿莉亚,警戒は怠らないように。\n魔物の詳細が不明である以上、\n僅かな油断も大敵となります。,警戒は怠らないように。\n魔物の詳細が不明である以上、\n僅かな油断も大敵となります。
21,ハイラック/海拉克,はっ……\nアニシダ共々、\n肝に銘じて任に当たります。,はっ……\nアニシダ共々、\n肝に銘じて任に当たります。
22,ハイラック/海拉克,必ずや魔物を仕留め、\n汚名を雪いでご覧にいれましょう。,必ずや魔物を仕留め、\n汚名を雪いでご覧にいれましょう。
23,アリア/阿莉亚,はい……\n私も貴方達なら\n問題はないと思っています。,はい……\n私も貴方達なら\n問題はないと思っています。
24,,そしてアニシダとハイラックは\nふたたび敬礼をし、\n任務に戻っていくのだった。,そしてアニシダとハイラックは\nふたたび敬礼をし、\n任務に戻っていくのだった。
info,,,scene_chr637_q2_s10待翻
译者,,,
