id,name,text,trans
0,オリヴィエ/奥莉薇尔,姬塔殿、<br>ここにいたか。,姬塔殿，<br>你在这里啊。
1,オリヴィエ/奥莉薇尔,君にバレンタインデーの贈り物を<br>手渡そうと思って、探していたんだ。,我正找你呢，<br>好亲手把情人节礼物交给你。
2,オリヴィエ/奥莉薇尔,去年君に手作りを所望されたから、<br>言われた通りにしてみたが……<br>やはり中々難しいものだな。,去年你说希望得到手制的，<br>我就试着做了一下……<br>果然不是那么简单的啊。
3,オリヴィエ/奥莉薇尔,食べられる味ではあるが、<br>見た目は及第点以下になってしまった。<br>なんというか……崩れかけている。,虽然味道尚可下咽，<br>但是卖相就没有那么好了。<br>怎么说呢……没有形状。
4,オリヴィエ/奥莉薇尔,本当にこんなもので<br>良かったのだろうか……？,这种东西<br>真的可以吗……？
5,オリヴィエ/奥莉薇尔,……姬塔殿。<br>その顔、喜んでいるのか？,……姬塔殿。<br>这幅表情，你是高兴吗？
6,オリヴィエ/奥莉薇尔,いや……まさか、この菓子で<br>君がそんなに嬉しそうな顔をするとは<br>思ってもみなかった。,诶……没想到，这份点心<br>居然能<br>让你这么高兴。
7,オリヴィエ/奥莉薇尔,不慣れな品をわざわざ渡す意味が<br>分からないと思っていたが……,之前还不明白特地<br>将不熟练的制品交给别人有什么意义……
8,オリヴィエ/奥莉薇尔,なるほど。ヒトの子の喜びは、<br>けして完璧なものにのみ<br>向けられるわけではないということか。,原来如此。人类的喜悦，<br>并不是一定要用完美的东西<br>才能获得的。
info,,,scene_s3_valentine_3092_v1_0_2002_3_3040145000_1
译者,麻友桑的话筒,,
