id,name,text,trans
0-chapter_name,,お使い猫耳少女,
0-synopsis,,用心棒を倒した一行。成金の悪事は料理人組合で共有されるという。姬塔達から、ペコリーヌとコッコロがキャルのことを心配していたと聞き、仲間との絆を感じるキャル。そこに街の住民が現れ、事情を聞くと「お礼にごちそうを振る舞わせて欲しい、仲間の方もぜひご一緒に」と言う。キャルは「あたしの仲間、とんでもなく大食いなのがひとりいるの」と笑うのだった。,
14,用心棒/保镖,げひゃっ！？,
18,キャル/凯露,ふふ～ん♪\nもう終わり？,
19,成金,そ、そんな……！,
20,子供１/孩子１,すっげぇー……,
21,子供２/孩子２,強ぇ……,
22,子供３/孩子３,お姉ちゃんも騎空士さんもすっごーい！,
25,キャル/凯露,でしょ？,
27,料理人,あなたのやろうとしたことは\n組合で共有させてもらいます。,
28,料理人,グルメ街があなたを許すかは\n今後のあなたの振る舞い次第\nということをお忘れなく。,
29,成金,うぅ……,
30,,成金男ががっくりとうなだれたのを見て\nキャルはようやく\n自分が解放されたことを確信した。,
33,キャル/凯露,やれやれだわ……\nすっごく疲れた……,
34,ビィ/碧,大変だったなぁ、猫耳の姉ちゃん。,
35,キャル/凯露,でもすっきりしたし、\nいまは最高の気分よ♪,
36,ルリア/露莉亚,これで安心できますね。\nペコリーヌさん達もきっと！,
39,キャル/凯露,え、ペコリーヌがどうかしたの？,
40,ルリア/露莉亚,はわわっ！\n言っちゃダメなんでした！,
41,ビィ/碧,いやぁ～……\n最近の猫耳の姉ちゃん、\n疲れた顔してたろ？,
42,ビィ/碧,ペコの姉ちゃんとコロ助の嬢ちゃんが\n心配してたんだけどよ～……,
49,ペコリーヌ/佩可莉姆,最近のキャルちゃん、心配ですねぇ……\n根を詰めすぎているんじゃ\nないでしょうか？,
50,コッコロ/可可萝,キャルさまは主さまを\n必死に探されていますが、それ以外に\nなにかあったのかもしれません。,
51,ペコリーヌ/佩可莉姆,姬塔さん、すみません……\nキャルちゃんになにがあったか\nそれとなく聞いてみてもらえませんか？,
52,ビィ/碧,んん？\nオイラ達は構わねぇけど、\n自分達で聞けばいいじゃねーか。,
53,コッコロ/可可萝,すでに尋ねてみたのですが、\nなにも仰ってくれないのです……\nとっても心配です……,
54,ペコリーヌ/佩可莉姆,「あたしの心配より\n先にやることあるでしょ」\nって言われちゃって……,
55,ペコリーヌ/佩可莉姆,キャルちゃんは頑張り屋さんなので\nあんまりわたし達を\n頼ってくれないんですよね～,
56,コッコロ/可可萝,おそらくキャルさまは\n主さまの捜索を\n中断したくないのでございましょう。,
57,コッコロ/可可萝,そこで姬塔さまの\nお力を借りることができれば、\nわたくし達は捜索に専念でき……,
58,コッコロ/可可萝,キャルさまの気持ちを\n尊重することもできると\n考えたのですが……,
59,ルリア/露莉亚,そういうことでしたら、\n私達に任せてください！,
65,ビィ/碧,そんでオイラ達が猫耳の姉ちゃんから\n事情を聞こうとしたんだけど、その前に\nガキんちょに声かけられてよ～,
66,キャル/凯露,そんなことが……,
67,ルリア/露莉亚,ペコリーヌさんもコッコロちゃんも\nキャルさんのこと\nすごく心配していました……,
68,キャル/凯露,…………,
70,近所の住民,あ、こんなところにいた！,
72,,現れたのは、子供達が\n魔物退治に出掛けた時に出会った\n近所の住民だった。,
73,近所の住民,またイタズラしてたのか？,
74,子供１/孩子１,ち、ちがうよ！\nお姉ちゃんにまた、その……,
75,近所の住民,おや？　騎空士さん方まで……\nまたなにかあったのですか？,
80,近所の住民,そんなことがあったなんて……\nまたも子供達を助けていただいて\nどう感謝の言葉を述べればいいのか……,
81,キャル/凯露,気にすることないわ。\nろくでもないのに捕まったのは\n運が悪かっただけよ。,
82,近所の住民,いえ、グルメ街の住民として\n礼をしないわけにはいきません。,
83,近所の住民,今夜はみなさまに\nとびきりのごちそうを\n振る舞わせてください！,
84,料理人,そういうことでしたら、\n料理人組合を代表して\n私も加わらせてください。,
85,料理人,例のスパイスを使い、\n最高の肉料理をご提供しますよ！,
86,ルリア/露莉亚,えぇっ！？\nでもあの薬草って貴重なものじゃ……,
87,料理人,ご安心ください！\nすでに加工されたものがありますから。,
88,料理人,それに、みなさまが\n丁寧に根から採ってきてくれたので\n鉢に植えればあの薬草も無事です。,
89,ルリア/露莉亚,あぁ……よかったです！,
90,キャル/凯露,そうねぇ……\nお言葉に甘えたいところだけど、\nあたし達、仲間が他にもふたりいて……,
91,近所の住民,どうぞどうぞ、ぜひご一緒に！\n今夜は楽しくなりそうだ！,
92,料理人,はい。遠慮する必要はないですよ。\n召し上がる方は多い方が\n作り甲斐があるというものです！,
93,キャル/凯露,……言ったわね？,
94,ビィ/碧,あ～言っちまったな。\nへへへっ！,
95,ルリア/露莉亚,ふふふ……,
96,２人,は？,
97,,笑い合う姬塔達を見て\n彼らはきょとんとしてしまった。\nそしてキャルは続ける。,
98,キャル/凯露,あたしの仲間、とんでもなく\n大食いなのがひとりいるの。,
99,キャル/凯露,みんな驚くわよ～！\n山盛りのご馳走だって\nきっとぺろりと食べちゃうわ！,
100,キャル/凯露,だから、たくさん作ってよね♪,
101,,そう言って笑うキャルの顔から\nいつの間にか疲れは消え去っていた。,
102,,その晴れやかな表情は\n【美食殿】に芽生える絆を感じたことと\n決して無関係ではないだろう。,
info,,,scene_chr541_q3_s30
译者,,,
