id,name,text,trans
0-chapter_name,,素直になれなくて,
0-synopsis,,「主さま」捜索の途中、街の子供達が魔物退治に向かったと聞き森へ赴く姬塔達とキャル。子供達は勢いづいて弱い魔物を退治していたが、キャルは「下手に魔物退治に成功したら、魔物は怖くないものだと思いこんでしまう」と怒ると、自身の魔法で魔物を操り、子供達を脅かし反省させる。姬塔達は、誰かの為に怒れるキャルはとても優しい人だ、と微笑むのだった。,
1,,デリシオラという島には\n数々の料理店が軒を連ねることから\nグルメ街と呼ばれている街があった。,在名为デリシオラ的小岛上有着难以数计一家挨着一家的料理店为名的美食街。
2,,魔物討伐の依頼で訪れた騎空団は\nそこで不思議な３人の少女と出会う。\n──その名は【美食殿】。,因魔物讨伐委托而来至于此的骑空团，在那里遇到了三位神秘的少女。\n——名为【美食殿堂】。
3,,街で目撃されるバケモノを調査するため\n彼女達もまた別の島からやってきたが、\n早々に仲間とはぐれてしまったという。,为了调查在街上被目击到的怪物\n她们也是从其他岛屿来到了这，不过很快就和同伴走散了。
5-sel3_txt,,6,
6,,魔物討伐に協力してくれたこともあり、\n姬塔達はその仲間の捜索に\n力を貸すことに決めたのだった。,她们也曾帮助过魔物讨伐，姬塔几人决定帮助她们寻找同伴。
11,,そして幾度か捜索を続けたうちの\nある朝のことだった──,于是几次寻找中的某一天早晨——
14,ペコリーヌ/佩可莉姆,おいっす～☆\n今日もみんなで\nあの人を探しましょー！,早上好～☆\n大家今天也来去找他吧ー！
15,コッコロ/可可萝,はい。\n今日こそ主さまを\n見つけて差し上げたいです。,嗯。\n今天定要找到主人。
16,コッコロ/可可萝,姬塔さま、皆さま、\n連日のご協力、ありがとうございます。\n本日もよろしくお願いいたします。,姬塔大人、各位，非常感谢你们数日的帮助。\n今天也请多关照了。
17,ビィ/碧,おう！　早く見つけ出してやろうぜ！\nそれにしてもそんなに固くなるなよ、\nコロ助の嬢ちゃん！,喔！要快点找到才行呢！话虽这么说，也不用这么严肃嘛，可萝仔小姐姐！
18,ルリア/露莉亚,はい！　私達、【美食殿】の皆さんの\n力になりたいんです！\nね？　姬塔。,没错！我们也想，为【美食殿堂】的大家助一臂之力！对吧？姬塔。
19,,ルリアに問われた姬塔は\nもちろん笑顔でうなずいた。,被露莉亚问到的姬塔也是笑着点了点头。
22,コッコロ/可可萝,ありがとうございます。\n皆さまが本当にお優しいので\n胸がいっぱいになってしまいます。,谢谢。大家如此的温柔善良，很让我内心感动。
23,ペコリーヌ/佩可莉姆,はい！　素敵な方々に出会えて\n【美食殿】はとっても幸せです～！\nやばいですね☆,没错！能遇到出色的人真是我们【美食殿堂】的荣幸呢~！真是不得了~！
24,ビィ/碧,へへっ！\nペコの姉ちゃんは相変わらずだな！\nそんで……,嘿嘿！\n佩可小姐姐还是跟之前一样呢！\n还有……
25,,ビィの視線はゆっくりと\n【美食殿】のもうひとりの女性に\n移っていったが──,碧的视线缓慢移动到【美食殿堂】另一位女性的身上……
26,キャル/凯露,…………,
27,キャル/凯露,……なによ？,……什么啊？
