id,name,text,trans
0-chapter_name,,サンタクロースについて,
0-synopsis,,聖夜が迫るある日、ユニはサンタクロースについて書かれた本を読んで考え込んでいた。空を飛び、一晩で全空へプレゼントを配るというサンタクロースの仕事に興味を持ち、自分にも手助けができるのでは？　と考えるユニ。ルリアとビィはサンタクロースの仕事を知るのにちょうどいい依頼があるとユニへ提案するのだった。,
1,,聖夜の近づいたある日の\nグランサイファー──,
2,ユニ/尤妮,…………,
4,ユニ/尤妮,聖夜の……たった一晩で……,
7,ルリア/露莉亚,ユニちゃん？,
8,ユニ/尤妮,あ……ルリア。,
9,ビィ/碧,真剣な顔して、何読んでんだ？,
10,ユニ/尤妮,これ……聖夜とサンタクロースに\nついての本。,
11,ルリア/露莉亚,わあ、いいですね！\n聖夜はもうすぐですし。,
12,ビィ/碧,何か面白いこと書いてあったか？,
13,ユニ/尤妮,……不思議なことなら。,
14,ルリア/露莉亚,不思議？\n何がですか？,
15,ユニ/尤妮,サンタクロースは\n全空中の子供達にプレゼントを\n配るって書いてある。,
16,ビィ/碧,ああ、そうだな。,
17,ルリア/露莉亚,空飛ぶそりに乗って\nプレゼントを運ぶんですよ。,
18,ユニ/尤妮,うん。そうとも書いてある。\n騎空艇じゃ、ないんでしょ？,
19,ビィ/碧,ん～……たぶん違うと思うけど。,
20,ユニ/尤妮,一晩の間に、全ての子供達の\nところに行くのは、\nとても難しいと思う。,
21,ユニ/尤妮,空の世界はすごく広いから……,
22,ビィ/碧,そうだな。確かにスゲェ\n難しそうだ。,
23,ユニ/尤妮,コスモスは、星の世界にいた。,
24,ルリア/露莉亚,コスモスさん？,
27,ユニ/尤妮,コスモスは、\n空の世界を調停するっていう\n特別な役割を持ってた。,
28,ユニ/尤妮,だから、星の世界の\n特別な場所から、\n特別な力で空の世界全てを見ていた。,
31,ユニ/尤妮,サンタクロースも、\nそういう特別な役割を持った\n星晶獣なの？,
31-sel1_txt,,人間だと思う,
31-sel2_txt,,星晶獣かも,
32,ユニ/尤妮,人間？\n人間なのにあんなことが\nできるなんて……,
33,ルリア/露莉亚,そうですね、たぶん……,
34,ユニ/尤妮,やっぱり。,
35,ルリア/露莉亚,え？\nそんなことないと思いますけど……,
36,ルリア/露莉亚,前に会った時、\n星晶獣っていう気配は\n感じませんでした。,
37,ユニ/尤妮,そう……,
38,ルリア/露莉亚,サンタクロースさんのことが\n気になるんですか？,
39,ユニ/尤妮,……うん、少し。,
40,ユニ/尤妮,私、サンタクロースの\n仕事を手伝えるんじゃないかと\n思う。,
41,ユニ/尤妮,私は星晶獣で、空も飛べる。\nだから、役に立てるかも。,
42,ユニ/尤妮,どう思う？,
43,ルリア/露莉亚,えーっと……,
44,ビィ/碧,そうだ！\nユニに、次の街であの依頼を\n手伝ってもらうのはどうだ？,
45,ルリア/露莉亚,あ、いい考えですね！\nぴったりです！,
46,ユニ/尤妮,依頼？　どんな？,
47,ビィ/碧,サンタクロースの修行になるぞ、\nきっと！,
48,ルリア/露莉亚,それには、まず……\n着替えましょう！,
49,ユニ/尤妮,着替え？,
50,,首をかしげるユニに向かって\n姬塔達はにっこりと\n笑いかけるのだった。,
info,,,scene_fate_chr839_ep1待翻
译者,,,
