id,name,text,trans
0-chapter_name,,私達のアウギュステ,
0-synopsis,,現れたのは昼間の詐欺師を含む男達だった。店長は昔所属していた犯罪グループから逃げるためこの地を離れようとしていたのだ。安心したメグは駆けつけたまりっぺと共に詐欺師達を倒す。こうしてカフェは存続することになり、まりっぺはメグがまりっぺにあげようとしていた「幸運の石」のついた指輪を手に入れて喜ぶのだった。,
1,来訪者,どこ行くんだよ、相棒～\n夜逃げはひどいだろ～が～,
2,カフェの店長,あぁ……しまった……！,
3,メグ/梅格,あなたは昼間の……幸運の石の人！,
4,来訪者,おや、落ち込んでいたお嬢さん……\nこれは奇遇ですね～,
5,メグ/梅格,あなた……\nあれ、詐欺だったんですか！？\n幸運の石なんてでまかせで……,
6,来訪者,いえ、とんでもない。\nあれは事実ですよ。,
7,メグ/梅格,あ、な～んだ……そうなんですか。,
8,カフェの店長,いえ、それは詐欺ですよ。,
9,メグ/梅格,えっ！？,
10,,メグが理解できないでいる一方、\n店長はその男に向き直った。,
11,カフェの店長,私はもう足を洗ったんだ……！\nついてこないでくれ！,
12,来訪者,冷たいこと言うなよ～\nたまたまここで出会ったんだ。\n旧交を温めようじゃないか。,
13,メグ/梅格,あの、どういうことなんですか？,
14,来訪者,その男はかつて私とちょっとした\nビジネスをしていたんですよ。,
15,カフェの店長,なにがビジネスだ……\n人を騙していただけじゃないか……\nまさかいまも続けているとは……,
16,メグ/梅格,騙していた……って……,
17,メグ/梅格,あ、やっぱり詐欺じゃないですか！,
18,詐欺師,なんて頭の悪い女なんだ……,
19,カフェの店長,私は反省し、罪を償ったんです……\nなのに、まさか昔の仲間と\n<span class='scene-font-place'>アウギュステ</span>で再会するなんて……,
20,詐欺師,こっちも驚いたさ～\nまさかたまたま入ったカフェの店長が\nかつての仲間だったなんてな～,
21,メグ/梅格,あの男の目的はなんなんですか？,
22,カフェの店長,私を仲間に引き入れるつもりです……\nおおかた「一般人」の私をうまく使って\n詐欺の片棒を担がせる気でしょうね……,
23,詐欺師,わかってるじゃないか～！\nいまの弱った<span class='scene-font-place'>アウギュステ</span>なんて\n狙い目だぞ！　豊漁、間違いなしだ！,
24,詐欺師,ちまちまカフェの店長やってるより、\nよっぽど稼げるぞ～！,
25,カフェの店長,疲弊した人を食い物にするその姿勢……\nそれが嫌になって\n私は心を入れ替えたんだ……！,
26,メグ/梅格,じゃ、じゃあ……\n店長さんが<span class='scene-font-place'>アウギュステ</span>から\n出ていこうとしたのって……,
27,カフェの店長,この男から逃げようとしたんです……\n最終営業日を周囲に知らせることで、\nあえてそれよりも早めにこっそり……,
28,詐欺師,お前のやり口はお見通しさ。\nもう考え直せ。\n俺と組んだ方が得だろうに。,
29,メグ/梅格,よかったぁ～……,
30,詐欺師,はぁ？,
31,カフェの店長,なにが……よかったんです？,
32,メグ/梅格,いや、だって……\n<span class='scene-font-place'>アウギュステ</span>が嫌になったわけじゃ\nないってことですよね？,
33,カフェの店長,え、えぇ……それはもちろん……,
34,メグ/梅格,それじゃあこの人達を\nぶっ飛ばせばいいじゃないですか。\nそれで解決でしょ？,
35,カフェの店長,…………？,
36,詐欺師,ぶふっ……,
37,詐欺師,<span class='scene-font-4'>ぶははははっ！</span>\nなんだ、このお嬢ちゃんは！！\nおもしれぇこと言うな～,
38,詐欺師,おい、お前ら！\n少し痛い目見せてやっていいぞ！,
39,子分共,へっへっへ……,
40,カフェの店長,ちょ、挑発しないで……！\n危険です！\nあなたは逃げてください！,
41,メグ/梅格,逃げるなんてとんでもない。\nそこに<span class='scene-font-spword'>「居続ける」</span>ためには\n立ち向かう必要があるじゃないですか。,
42,子分,おらぁッ！！,
46,,飛びかかった男の攻撃をかわし、\nがら空きになった腹に\nメグはすばやく拳を埋め込んだ。,
51,子分,…………,
53,メグ/梅格,まずはひとり……！,
57,子分,…………,
59,メグ/梅格,ふたり目！,
60,詐欺師,なんだぁ……？,
61,詐欺師,お、お前ら、あの女をやれッ！,
62,,次々に屈強そうなゴロツキ共が\nメグに襲いかかるが、\nなぎ倒されていくばかりであった。,
68,メグ/梅格,３人目ッ！,
75,メグ/梅格,４人目ぇッ！！,
76,詐欺師,ひぃぃぃ……！,
79,まりっぺ,メグ～！,
80,メグ/梅格,まりっぺ！？,
81,まりっぺ,さあ、ウルスラ！\n早くここに！,
85,ウルスラ,Sharrrk！,
96,,巨大な物体にウルスラを格納し、\nそれを肩に乗せたまりっぺは、\n片足を伸ばして体勢を低くすると……,
97,まりっぺ,いっけえええぇぇぇぇ！！,
104,ウルスラ,Sharrrrrrrrrk！！,
105,,高速で射出されたウルスラは\n目標に向かってまっすぐ飛んでいく。,
106,詐欺師,わ、わわ……！\n<span class='scene-font-4'>うわあああああぁぁぁぁぁ！！</span>,
124,カフェの店長,本当にありがとうございました。\nメグさんのおかげで、\nここで店を続けることができそうです！,
125,メグ/梅格,私のおかげだなんてそんな……！\nできることをしただけで……\nもっとがんばっている人がいるのに……,
126,まりっぺ,なに言ってんの！\nこんなことなかなかできないわ！\nさすがメグね♡,
127,メグ/梅格,ていうか、まりっぺ……\nさっきのおっきな銃みたいなのは\nいったいなんなの？,
128,まりっぺ,あぁ、あれ？,
132,まりっぺ,ふふん♪\n秘密兵器<span class='scene-font-spword'>「シャークランチャー」</span>よ！,
137,メグ/梅格,シャークランチャー！？,
142,まりっぺ,前から思ってたのよね～\nいっつもメグに守られてばかりなのは\nちょっとダメかなって。,
143,まりっぺ,ていっても、私、戦えないでしょ？\nじゃあ、銃なら扱えるかなって、\nサメを発射する機械を考えたのよ。,
144,メグ/梅格,考えたって……\nあんなのどうやって……？,
145,まりっぺ,そりゃあ作らせたのよ、\n知り合いのマッドサイエンティストに。\n初めて撃ったけど、うまくいったわ。,
146,メグ/梅格,わぁ……心当たりしかない。,
147,ビィ/碧,お～い。\nそれじゃあオイラ達は\nあいつらを連れていくぜ。,
148,,姬塔達は\n詐欺師とその仲間を縄で縛り上げ、\n連行するところだった。,
149,詐欺師,うぅ……,
152,,連行される者達を見送るメグは\n詐欺師の足もとに\n小さな物体が落ちたのを見た。,
154,メグ/梅格,落ちましたよ？,
155,詐欺師,いらねぇよ、そんなもの～\nどっかで買ったただのおもちゃだ。,
156,メグ/梅格,そうだったんだ……\nもうこんなもので\n人を騙しちゃダメですよ？,
157,詐欺師,けっ……,
158,,詐欺師が連行されてから\nまりっぺがメグに尋ねた。,
159,まりっぺ,なぁに？,
160,メグ/梅格,これ、例の幸運の石。\nおもちゃだったみたい。,
161,,メグの手の中にある石は、\nただの石ではなく、\nリング状の金具がついていた。,
162,まりっぺ,え？　指輪だったんだ……\nただの石ころかと思ってたわ。,
163,メグ/梅格,きれいでしょ？\n<span class='scene-font-place'>アウギュステ</span>の海みたいに\n透き通った青で……おもちゃだけど。,
164,まりっぺ,でもこんなのに頼っちゃダメよ？\nメグはそのままでいいんだから。,
165,メグ/梅格,うぅん、ちがうよ。\nこれはもとからまりっぺに\nあげようと思ってたんだ。,
166,まりっぺ,…………え？,
167,メグ/梅格,私のダメなところは自分で直さないと。\nモノに頼るのはルール違反だと思う。,
168,メグ/梅格,でもまりっぺはお仕事、\nすごくがんばってるでしょ？\nだからイイコトあるといいなって。,
169,メグ/梅格,石の説明をあの詐欺の人から聞いた時、\nこの石が招いてくれる幸運は、\nまりっぺにあるべきって思ったんだ。,
170,メグ/梅格,だから買おうとしちゃって……\nでもただのおもちゃじゃダメだね。\nこれは私が処分しとくよ。,
171,まりっぺ,まま、待って！\n私、それ欲しい！,
172,メグ/梅格,え、いいの？,
173,まりっぺ,（ここここ、こんなのもう……\n婚約指輪同然じゃない……！）,
181,,そして翌日……,
182,メグ/梅格,はぁ～……\n結局、私って腕力しかないんだな～\nなにか他にできること増やさないと……,
