id,name,text,trans
0-chapter_name,,船だ！　祭りだ！！,
0-synopsis,,バサラと姬塔達のお陰で無事オバケ魚は漁場を去り、祭りを終えた一行は陸へ戻って宿でヴァジラを休ませる。ヴァジラのカミの声を聞く力が失われたのでは、と懸念するバサラだったが、目覚めたヴァジラはいつも通りの調子に戻っていた。ヴァジラの不調の原因が船酔いだとわかり、安堵する一行。騒動は一段落し、ヴァジラ達の夏の日は賑やかに暮れていくのであった。,
1,ヴァジラ/瓦姬拉,そろそろ諦めて去るがいい。,
3,オバケ魚,──……！,
6,ビィ/碧,お、あいつ離れていきそうだぞ！,
7,オバケ魚,…………,
9,,バサラや姬塔達の力もあり\nオバケ魚の興奮は鎮められ、\nやがて波間に消えて行った。,
10,船長/船长,おお……\n漁場から去っていくぞ！,
11,若い漁師,ああ、ありがとうございました……！,
12,船長/船长,十二神将さん達のおかげで、\nなんとか祭りを完遂させられそうだ。\n本当にありがとうなぁ。,
14,ヴァジラ/瓦姬拉,うむ、気にするな。,
15,船長/船长,さぁ、残りの供物を捧げて、\n無事に戻るぞ！\nできるな！？,
16,若い漁師,おう、オヤジ！,
17,,落ち着きを取り戻した船の上で忙しく\n動き始める漁師達を眺めながら、\n一行はヴァジラの周囲に集まる。,
18,ルリア/露莉亚,あの……\nヴァジラちゃんは大丈夫ですか……？,
19,バサラ,うむ……,
20,バサラ,相変わらず、調子が悪いようだな。,
21,バサラ,船を降りて休める場所に戻るまで\nこの状態を保つ。\n俺が身体を動かしていた方が安全だ。,
22,ビィ/碧,そうか、それがいいかもな。,
23,ビィ/碧,それにしても、ヴァジラの奴は\n突然どうしちまったんだ？,
24,ルリア/露莉亚,心配ですね……,
25,バサラ,…………,
31,,無事に船を降りた一行は、\nすぐに近くの宿で\nヴァジラを休ませることにした。,
32,ヴァジラ/瓦姬拉,すぅ……すぅ……,
33,ビィ/碧,今は、ただ寝てるだけみてぇだな。,
34,ルリア/露莉亚,はい。苦しくはなさそうですが……,
35,ガルジャナ,……主は、カミの声が聞こえないと\n言っていたのですね……？,
36,ビィ/碧,ああ、全然聞こえねぇって言ってたぜ。\n船に乗るまでは普通に聞こえてる\nみてぇだったのになぁ。,
37,ルリア/露莉亚,具合も悪そうでした。\n心配です……,
38,ガルジャナ,…………,
39,バサラ,はぁ……これほど周囲に心配を\nかけるとは……\nやはり一人前とは言えんな。,
40,バサラ,しかし……\nこいつが寝ていると、俺の声は\n誰にも届かんわけか……,
41,バサラ,だがまあ、本来ならば、\nこれが普通の状態。,
42,バサラ,この年齢までカミの声を聞き、\n俺の御霊すらおろして見せる\nヴァジラが特異だったのだ。,
43,バサラ,こいつも、遅かれ早かれ……,
