id,name,text,trans
0-chapter_name,,命を救うために,
0-synopsis,,老婆が孫の結婚式を祝えるよう手伝う姬塔達。ジャスミンは老婆の力になりたい一心で寝る間を惜しみ薬の調合法を探るが、無理がたたり自身が倒れてしまう。目を覚ましたジャスミンに、老婆は姬塔達のためにも自分を蔑ろにしてはならないとジャスミンを諭し、反省したジャスミンは心から姬塔達に謝るのだった。,
1,,老婆が孫娘の結婚式に無事に\n出席できるよう、それまで老婆の元に\n留まり支えることを決めた一行。,
2,,ジャスミンが薬を調合する傍ら、\n姬塔、ビィ、ルリアは\n衣装や小物の作成を進めていた。,
3,ルリア/露莉亚,……お婆さん、大丈夫でしょうか？\n今朝に一度起きたきり、\nずっと眠ったままですけど……,
4,,ふと、ルリアが寝室に\n目を向けつつ声を潜めて呟く。,
5,,あの日以降、老婆の容体は悪く、\n今朝も一度目を覚ましたものの\nすぐにまた深く寝入ってしまった。,
6,ジャスミン/茉莉,やっぱり、体力がかなり\n落ちているんだと思います。\n昨日の夜も咳き込んでいましたし……,
7,ビィ/碧,うぅ……どうしようも\n無いのは分かってるけど、\nもどかしいな……,
8,ジャスミン/茉莉,お婆さんの調子がこれ以上\n悪化する前に、どうにか\nお薬を作らないと……,
9,,そう告げるジャスミンの顔には\n僅かに疲労の色が浮かんでいる。,
9-sel1_txt,,ジャスミン、ちゃんと寝てる？,
11,ジャスミン/茉莉,えっ……と……\nね、寝ましたよ？\nそれはもう、ぐっすりすやすやと！,
12,ルリア/露莉亚,それにしては、顔色が\nあまりよくない気がします……,
13,ビィ/碧,それに、薄らとだけど隈もあるぜ。\n本当に寝たのか？,
14,ジャスミン/茉莉,あう……,
15,ジャスミン/茉莉,……姬塔さん達には\n隠し事ができませんね。,
16,ジャスミン/茉莉,私は大丈夫です！\nいつもよりは短かったですけど、\nちゃんと睡眠は取りましたし……,
17,ジャスミン/茉莉,でも、確かに疲労は感じているので、\nあまり寝れなかった分\n今日はしっかり寝ますね。,
18,ビィ/碧,うん……なら良いけどよ……,
19,ルリア/露莉亚,根を詰めすぎないでくださいね。\n私達にお手伝いできることがあったら、\n何でも言ってください！,
20,ビィ/碧,そうそう！　薬の調合は難しくても、\n材料集めとか下ごしらえとかは\n多少手伝えるからさ！,
21,ジャスミン/茉莉,はい！\nありがとうございます、皆さん！,
22,,大きく頷くジャスミンに\n僅かな不安を抱きつつも、\nそれ以上追及することはしなかった。,
23,,その不安が杞憂では無かったことに\n姬塔達が気付くのは、\nそれから数日後のことだった。,
27,ジャスミン/茉莉,……ダメ……\nこの配合だと、薬効が反発して\n副作用が……,
28,,今日も今日とて机に向かい薬の調合を\n試し続けるジャスミンの背を見つめ、\n姬塔達は顔を見合わせる。,
29,ビィ/碧,なぁ……やっぱり、そろそろ\n無理矢理でもジャスミンを\n休ませた方が良くないか？,
30,ルリア/露莉亚,うぅ……\n顔色もすごく悪いですし、\n目の下の隈も酷いです。,
