id,name,text,trans
0-chapter_name,,波乱の予兆,
0-synopsis,,バレンタインが近づいたある日、フアンとパイはチョコ作りに励む仲間達を見て、自分達もチョコ作りに取り掛かることに。ふたりはそれぞれ手作りチョコの案を出すも、意見が食い違い喧嘩に。最終的に、ふたりはそれぞれチョコを作って姬塔に渡し、どちらが美味しいか決めてもらうことにするのだった。,
2,,ある日の午後、\nフアンとパイはお菓子を\n求めて食堂を訪れていた。,
3,シンダラ,…………,
4,,食堂を見てぽかんとした顔を\n浮かべるフアンとパイ。,
5,,視線の先には、\nチョコレート作りに励む\n仲間達の姿があった。,
6,フアン,みんな、真剣な顔で作ってるな～,
7,パイ,もうすぐ愛のイベント……\nバレンタイン……だからね。,
8,？？？,あれ、フアンちゃんとパイちゃん？,
9,,声の方に振り向くと\nそこにはクラリスとアンスリアの\n姿があった。,
10,アンスリア/安苏莉娅,あら、貴方達もチョコを\n作りにきたの？,
11,フアン,ううん、わたし達は\nお菓子を取りに来ただけだよ。,
12,アンスリア/安苏莉娅,……そうなの？,
13,クラリス/克拉莉丝,フアンちゃんとパイちゃんは\nバレンタイン、どうするの？\nチョコ作らないの？,
14,フアン,んーにゃ、わたしは作るぞ。,
15,フアン,（というのも、ここ最近、\n姬塔とチラチラ\n目があうんだよなぁ……）,
16,フアン,（あれってやっぱり、\nわたしがチョコを作ってるか\n気にしてるってことだよね……）,
17,フアン,（バレバレだよなぁ……\nやっぱり姬塔は\nわたしのこと好きなんだ……）,
18,フアン,(でもな～……\n手作りなんて渡したら姬塔に\n本命だって思われちゃうよな～……),
19,フアン,(も、もももし、もしかして、\nこっ、告白なんて、されたりして……),
20,クラリス/克拉莉丝,…………？,
21,パイ,わたしも作るよ。\nもちろん手作り。,
22,パイ,（でも手作りを渡したりして\n本当に大丈夫か不安……）,
23,パイ,（本命だって勘違いされたら、\n破廉恥な姬塔のことだよ……）,
24,パイ,（理性なんて捨てて、\nそのままわたしに\n襲いかかってくるはず……）,
25,パイ,（とんだバレンタインになるよ……）,
26,クラリス/克拉莉丝,んん……？\nどしたの？　ふたりとも。\nなんか変な顔してるけど。,
27,フアン,う、ううん……なんでもない……,
28,パイ,どんなチョコを作るか、考えてただけ。,
29,アンスリア/安苏莉娅,そう？　もし、アイデアがないなら、\n私達と一緒に試作してみる？,
30,パイ,もうちょっと考えてみるから\nいまはいいかな。,
31,クラリス/克拉莉丝,ふーん……？\nじゃ！　うちらはチョコ作り再開だ！\nね、アンスリアさん！,
32,アンスリア/安苏莉娅,そうね。\nそろそろ、チョコも\n冷めたと思うし……,
33,アンスリア/安苏莉娅,って、あ、そうだ。\n貴方達、お菓子を探しに\nきたのよね？,
