id,name,text,trans
0,ウーノ/乌诺,あけましておめでとう、姬塔。,新年快乐，姬塔。
1,ウーノ/乌诺,ふむ……<br>これでも朝早くに<br>出発したつもりだったが……,呼姆……<br>虽然计划早点出发的……
2,ウーノ/乌诺,既に参拝客の列が<br>ずいぶん長く伸びてしまっているね。,但参拜的队列已经排得很长了呢。
3,ウーノ/乌诺,急くことはない。<br>ゆっくり話でもしながら<br>順番が回ってくるのを待つとしよう。,不必心急。<br>一边悠闲地聊天一边等着轮到我们吧。
4,ウーノ/乌诺,うん？<br>私が何を祈願するのか知りたいのかい？,嗯？<br>你想知道我许愿了什么吗？
5,ウーノ/乌诺,無病息災と商売繁盛だよ。<br>ふたつ目は騎空団に沢山の依頼が<br>舞い込むようにという意味を込めてね。,无病无灾和商业繁荣哟。第二个有一部分的意思是，希望骑空团能接到纷至沓来的任务委托。
6,ウーノ/乌诺,幼い頃、商人だった両親と初詣に行き<br>必ずこのふたつを祈願した。<br>ある種の習慣のようなものだ。,小的时候，和作为商人的父母去新年参拜，一定会许下这两个愿望。可以说是我的一种习惯了吧。
7,ウーノ/乌诺,願掛けをし、節目に気を引き締めると<br>その一年の過ごし方が変わる……,许下愿望，在这关键时期鼓起干劲，<br>这一年的过法也会改变……
8,ウーノ/乌诺,遠い日に教わった心構えだが、<br>なるほど、そうかと思って<br>いまでも大切にしているよ。,虽然是很久以前被教导过的观念，原来如此，是这样啊这么想着，如今也十分重视着。
9,ウーノ/乌诺,ふふ、姬塔も私に倣うかい？<br>では、共に祈願するとしようか。,呵呵，姬塔也要学我吗？<br>那么，一起许愿吧。
info,,,scene_s4_newyear_4001_v1_0_2001_4_3040030000
译者,,,
