id,name,text,trans
0-chapter_name,,依頼の行方,委托的去向
0-synopsis,,舞台の感想を喫茶店で語らうスツルムと姬塔。その様子を見守るターニャとフィーナとドランクも、順調そうなふたりの様子にほっとする。次の作戦として、スツルムは商店街でショッピングをしようとするが、目的なく商品を見る経験がなかったため狼狽えてしまう。しかし、見守っていた３人の陰からの助けもあり、姬塔と共に楽しく商店街を巡るのだった。,斯特姆和姬塔在咖啡厅讨论舞台剧的感想。始终观察着两人的塔妮亚、菲娜与德朗克看到计划顺利进行，安下心来。下一个作战计划，斯特姆本打算在商业街购物，但从未体验过漫无目的逛街的她惊慌失措。好在有三人的暗中帮助，斯特姆与姬塔享受了逛街的整个过程。
1,スツルム/斯特姆,──簡単な話だ。<br>あの主人公がすぐに想いを伝えれば、<br>万事丸く収まってたはずだ。,——其实很简单。<br>如果主人公立刻把自己的想法说出来，<br>就万事大吉了。
2,スツルム/斯特姆,秘めた想いだかなんだか知らないが、<br>そのせいでふたりはすれ違って……<br>これが戦場なら奴らに命は無い。,不管它是隐藏多年的想法还是什么，<br>两人因此失之交臂……<br>如果这是战场他们早已丧命黄泉。
3,スツルム/斯特姆,解決したからよかったものの、<br>仲間を何人も巻き込んで……,就算最后解决了问题，<br>也波及到了好几位同伴……
3-sel1_txt,,<span class='scene-font-katari'>楽しかったね</span>,<span class='scene-font-katari'>很有趣的故事</span>
3-sel2_txt,,<span class='scene-font-katari'>熱中してたんだね</span>,<span class='scene-font-katari'>你很入迷啊</span>
5,スツルム/斯特姆,…………！,…………！
6,スツルム/斯特姆,まあ、退屈はしなかった……,嗯，倒没有特别无聊……
7,スツルム/斯特姆,お前はどう思ったんだ？,你怎么认为？
9,スツルム/斯特姆,なっ……！？,什……！？
10,スツルム/斯特姆,あ、あたしの感想はいい。<br>お前はどうだったんだ？,别、别管我怎么想了。<br>你怎么认为？
11,,<span class='scene-font-katari'>舞台を観終えて、</span><br><span class='scene-font-katari'>喫茶店にやって来た</span><br><span class='scene-font-katari'>スツルムと姬塔。</span>,<span class='scene-font-katari'>舞台剧落幕后，</span><br><span class='scene-font-katari'>斯特姆与姬塔</span><br><span class='scene-font-katari'>来到了咖啡厅。</span>
12,,<span class='scene-font-katari'>感想を語らうふたりの様子を、</span><br><span class='scene-font-katari'>隅のテーブルから見つめる３人がいた。</span>,<span class='scene-font-katari'>3人坐在角落的桌子目不转睛地盯着</span><br><span class='scene-font-katari'>正在讨论感想的两人。</span>
13,ドランク/德朗克,うんうん……<br>姬塔さんも楽しそうだし、<br>なかなかいい感じじゃない？,嗯嗯……<br>姬塔看上去也乐在其中，<br>不是感觉挺好的？
14,フィーナ/菲娜,おーいおいおい……<br>よがっだよぉおお～！！,呜呜呜……<br>太好啦～！！
15,ターニャ,わっ、フィーナ……！<br>ま、周りの人、こっち見てる……,哇，菲娜……！<br>周围的人都在看我们……
16,フィーナ/菲娜,だってぇ～！<br>最後にちゃんと気持ちを伝えて……<br>主人公、あんなに弱虫だったのに……！,可是～！<br>最后主人公鼓足勇气表达了自己的感情……<br>一开始还是个胆小鬼来着……！
17,フィーナ/菲娜,ターニャもドランクも、<br>むしろなんで泣いてないのよ！？,反倒是塔妮亚和德朗克，<br>为什么能忍住不哭啊！？
18,ターニャ,わ、わかる……けど、<br>泣き止まないと、<br>気づかれちゃうから……！,我、我明白……但是，<br>如果不忍住，<br>会被发现的……！
19,ドランク/德朗克,まぁ、劇のチョイスは<br>バッチリだったってことで……<br>それで、次の作戦は何だっけ？,好啦，就当作是<br>选对了剧……<br>然后呢，下一个计划是什么？
20,ターニャ,え、えっと……<br>次は、私の……,嗯……<br>下一个，是我的……
26,フィーナ/菲娜,劇を観終わったら、<br>近くの喫茶店でダベるのは確定ね。,看完剧以后，<br>当然要在附近的咖啡厅用餐啦。
27,フィーナ/菲娜,これはもうセット！<br>スツルムとドランク、<br>アタシとミニゴブくらい黄金コンビ！,这已经成了固定搭配！<br>就像斯特姆和德朗克，<br>我和迷你哥布一样的黄金组合！
28,スツルム/斯特姆,今、いないだろ。<br>ミニゴブもドランクも。,但是，迷你哥布和德朗克<br>现在都不在啊
29,フィーナ/菲娜,ミニゴブは宿でスヤスヤお休み中。<br>でも、心はこの瞬間も繋がってるし！,迷你哥布现在在家里呼呼大睡。<br>但是，此时此刻心也紧紧相连！
30,フィーナ/菲娜,アンタ達だってそうでしょ？,你们也一样吧？
