id,name,text,trans
0-chapter_name,,温厚なる自然の守護者,温文尔雅的自然守护者
0-synopsis,,森に火を放ったのは、金儲けのために島の開発を推し進めていた業者の男達だった。開発の中止を決めた町の住人達に嫌がらせをするため、業者の男達は植えたばかりの苗木や花に向かって火炎瓶を放り投げる。マリウスは男達が行った自然を破壊する行為を目の当たりにし、激怒する。そして裁きを下すべく、男達に向かっていくのだった。,在森林中放火的是为了赚钱而推动岛屿开发的男性从业者们。为了向决定中止开发的市民们报复，工人们朝着刚种下的树苗和花投掷燃烧瓶。玛丽乌斯看到他们破坏自然的行为当场暴怒。然后对他们降下了制裁。
3,ガラの悪い男１/痞气的男人１,おーおー派手にいったなぁ！<br>整地はやっぱ爆破に限るぜぇ！,哦哦！真是华丽啊！整地果然只有爆炸合适啊。
4,ガラの悪い男２/痞气的男人２,はっはっは！<br>これで工事しやすくなったなぁおい！,哈哈哈！这样就更容易盖楼了！
5,,<span class='scene-font-katari'>突然の出来事に驚く一行の目の前に、</span><br><span class='scene-font-katari'>下卑た笑いを浮かべる男達が現れる。</span>,<span class='scene-font-katari'>被突如其来的情况吓到的一行人面前，</span><br><span class='scene-font-katari'>出现了几个笑容卑鄙的男人。</span>
6,ビィ/碧,な、なんだあいつら！？,什么啊，这群人！？
7,町の住人１,またあの人達……<br>懲りないのね……,又是这群人……看来是苦头没吃够啊……
8,マキュラ・マリウス,あの痴れ者らは一体何だ？<br>そなたらの顔見知りなのか？,那群白痴究竟是什么人？<br>你们认识吗？
9,町の住人２,あいつ等はこの島の工事や<br>開発をしてた業者で島の外の連中です。,这些家伙是开发这座岛的工人们岛外的同伙。
10,町の住人２,我々がもう工事をしないと言ってから、<br>なんども嫌がらせをしに来るのです……, 我们已经说了不要施工了，<br>他们还经常来搞事……
11,ガラの悪い男１/痞气的男人１,<span class='scene-font-4'>嫌がらせだとぉ！？</span><br>ふざけたこと言うなよなぁ兄弟よぉ！,<span class='scene-font-4'>你说搞事？</span><br>别开玩笑了兄弟！
12,ガラの悪い男２/痞气的男人２,俺達ゃあの祟りとかいうわけわからん<br>怪奇現象で、寝たきりのアンタらの目を<br>覚まさせてやろうとしてるだけだぜ？,我们可是因为那个叫报应的莫名其妙的奇怪现象，<br>要唤醒睡着的你们呀？
13,町の住人１,わけわからないこと言わないで！<br>私達の目はとっくに覚めてるわ！,不要乱说自己不知道的事啊！<br>我们的可清醒的很呢！！
14,ガラの悪い男１/痞气的男人１,いいや、寝てるだろ。<br>寝言じゃなきゃ、<br>工事やめるなんて言わねぇだろよ。,不不不，还睡着呢吧。<br>还说梦话呢，<br>说什么不要施工了。
15,ガラの悪い男２/痞气的男人２,この島ぁ無駄に広いんだ！<br>ドンドン工事して開発してよぉ！<br>町を大きくして行こうぜ！,这座岛这么大真浪费啊！<br>好好施工开发一下吧！<br>把城市建的更大一些吧！
16,ガラの悪い男１/痞气的男人１,そうすりゃ、俺達も稼げるし！<br>アンタらもハッピーな生活を送れる！<br>最高じゃねぇか、なぁ！,这样的话，我们也能赚钱，<br>你们也能迎来快乐生活，<br>多棒啊，对吧！
17,ビィ/碧,なに言ってんだテメェら……！<br>結局お前らが稼ぎたいだけだろ！,你们说什么呢……！<br>结局只有你们这群人赚钱而已吧！
18,ガラの悪い男１/痞气的男人１,あたりめぇだろ？<br>俺達だってハッピーな生活を<br>送りたいんだからよぉ！,这不是废话吗？？<br>我们也想过好日子啊！
19,ガラの悪い男２/痞气的男人２,だからよぉ、また仲良くしようぜ？<br>さっさと目ェ覚ましてくれよ、頼むよ！,所以说啊，我们握手言和吧？<br>快点清醒过来吧，拜托了
22,,<span class='scene-font-katari'>男は怒鳴ると手に隠し持っていた、</span><br><span class='scene-font-katari'>火炎瓶を植樹祭で町の住人達が植えた</span><br><span class='scene-font-katari'>苗木や花の上に投げつけた。</span>,<span class='scene-font-katari'>男子怒吼着把首里藏着的燃烧瓶扔向了市民们种植的树木和花。</span>
23,町の住人１,ああ、なんてことを……！！<br>せっかく……植えたのに……！,啊！你干什么……！<br>这可是好不容易……才种的啊……！
24,ガラの悪い男１/痞气的男人１,ほらほら、早く目ェ覚まさねぇと……<br>今度はテメェらの家まで燃えちまうぞ？<br>ははははっ！,嘿，再不早点清醒的话，<br>下次就连你们的家一起烧了噢？哈哈哈哈哈！
25,ビィ/碧,ゆ、許せねぇ……！！！<br>姬塔っ！　<br>あいつらをとっちめ──……,绝，绝不原谅你们……！！<br>姬塔！ <br>揍飞这群家伙……
26,マキュラ・マリウス,許せぬ……,不可原谅……
27,ビィ/碧,ひっ！？,欸！?
35,マキュラ・マリウス,妾の生み出す氷よりも、<br>冷たい愚か者だな……,真是比我创造的冰还要冷血的蠢蛋啊……
36,ガラの悪い男１/痞气的男人１,あぁ？　何ぶつぶついってんだ？<br>テメェも寝てんのか？<br>おら、目ェ覚まさせてやるよっ！,瞎逼逼什么呢？<br>你们丫也睡大发了？<br>哦欸，快清醒点吧！
37,ガラの悪い男１/痞气的男人１,って、あれ……？<br>ああ、あああっ！？,那么，嗯……？<br>啊啊啊啊！?
38,ガラの悪い男２/痞气的男人２,お、お前その手どうしたんだ！？<br>カチコチに凍ってるじゃねぇか！？, 你，你的手怎么回事！?<br>都冻成冰了啊！?
40,,<span class='scene-font-katari'>慌てふためく男達に向かって</span><br><span class='scene-font-katari'>マリウスはゆっくりと歩を進める。</span>,<span class='scene-font-katari'>玛丽乌斯缓缓地朝着惊慌失措的男人们走过去。
49,,<span class='scene-font-katari'>彼女が歩みを進めるたびに、</span><br><span class='scene-font-katari'>大地は凍てつき、燃え盛る森の火は</span><br><span class='scene-font-katari'>小さくなり、やがて消滅した。</span>,<span class='scene-font-katari'>她走过的地方，大地都要冻结了，。、</span><br><span class='scene-font-katari'>燃烧的森林大火也变小了，很快就熄灭了</span>
50,マキュラ・マリウス,憐れな愚か者よ……<br>そなたらにもはや一刻の猶予も与えん。,可怜的愚蠢之人啊……<br>对付你们真的是一刻都不能犹豫。
51,マキュラ・マリウス,そなたらは……妾が裁く。,你们……由妾身来制裁。
info,,,scene_chr536_q3_s20
