id,name,text,trans
0,クラリス/克拉莉丝,ね、ねぇ、姬塔。<br>あのね、その……<br>今年もチョコを作ったんだ。,呐，呐，姬塔。<br>那个……<br>我今年也做了巧克力。
1,クラリス/克拉莉丝,だから……受け取ってくれる？,所以……你能收下吗？
6,クラリス/克拉莉丝,そ、そりゃあ手作りデスヨっ！<br>姬塔には日ごろから<br>お世話になってるしね☆,当、当然是亲手做的！<br>平常就经常受到姬塔关照啊☆
7,クラリス/克拉莉丝,えへへ……ありがと☆<br>あのね、今年のは自信作なんだ☆,欸嘿嘿……谢谢☆<br>那个，今年的是我的自信之作☆
8,クラリス/克拉莉丝,去年のよりも絶対においしいから。<br>だから、味わって食べてね☆,肯定比去年的好吃。<br>所以，你可要好好品尝啊☆
13,クラリス/克拉莉丝,え、後ろの紙袋？<br>これはその失敗……,欸，背后的纸袋？<br>那是失败……
14,クラリス/克拉莉丝,<span class='scene-font-5'>じゃないっ！</span>,<span class='scene-font-5'>不是！</span>
15,クラリス/克拉莉丝,こ、これは……その……<br>あ、あれだよっ！<br>みんなに配る義理チョコっ☆,这、这是……那个……<br>是那个！<br>要送给大家的义理巧克力☆
16,クラリス/克拉莉丝,だ、だから、姬塔は<br>気にしないで！,所、所以姬塔你不用在意！
17,クラリス/克拉莉丝,それじゃ、うちは失敗……コホン。<br>義理チョコをみんなに配ってくるから☆,那么我就去把失败……咳咳。<br>义理巧克力发给大家☆
info,,,scene_s3_valentine_3040_v1_0_2002_3_3040046000_1
