id,name,text,trans
0-chapter_name,,この言葉が君に届きますように,愿这份话语能够传递给你
0-synopsis,,姬塔一行は弟妹達に会うため、地元へと足を向けたエッセルと共に星屑の街を訪れる。街を見ていると、慌てた店員がエッセルに助けを求めてくる。一行が店に向かうと、難癖つけて暴れるならず者が居た。それを止めようとするエッセルに一行は加勢する。,姬塔一行和为了见到弟妹而前往当地的艾瑟尔一起，来到了星屑之街。正在参观街道的时候，慌张的店员突然来向艾瑟尔求助。一行人来到店里，有个粗暴的人正在故意刁难店长。一行人上前帮助想要阻止他的艾瑟尔。
0,,<span class='scene-font-katari'>姬塔達は弟妹達に会うため</span><br><span class='scene-font-katari'>地元へと足を向けたエッセルと共に</span><br><span class='scene-font-katari'></span><span class='scene-font-place'>星屑の街</span><span class='scene-font-katari'>へやってきた。</span>,<span class='scene-font-katari'>姬塔一行和为了见到弟妹而前往当地的艾瑟尔一起，来到了星屑之街。</span>
1,ビィ/碧,へぇ……！<br>物騒な街並みが続いてたのに、<br>ここは綺麗な街なんだなぁ。,诶……！<br>明明之前都是看上去很危险的街道，<br>可这里却那么漂亮啊。
2,エッセル/艾瑟尔,ん……元は、ここも外と同じ<br>マフィアに牛耳られた<br>スラム街だったんだ。,嗯……这里本来和外面一样，<br>是被黑手党控制的贫民窟。
3,ルリア/露莉亚,そうなんですか！？<br>こうなるまでに、大変なことが<br>きっと沢山あったんですね……,是这样吗！？<br>一定经历了很多辛苦的事情才变成现在这个样子的吧……
4,エッセル/艾瑟尔,ん……ストリートチルドレンと<br>マフィアの諍いが、<br>長い間続いていて……,嗯……流浪儿和黑手党的争斗，<br>持续了很长的时间……
5,エッセル/艾瑟尔,私や弟のカトルの代でやっと、<br>少しは安心して<br>暮らせる場所になったんだ。,到了我和我弟弟卡托尔这一代，<br>终于变成了稍微能安稳生活的地方。
6,ビィ/碧,そっか……<br>銃の姉ちゃん達の、<br>努力の結晶がこの街なんだな。,这样啊……<br>用铳的小姐姐你们的努力的结晶，就是这条街啊。
7,エッセル/艾瑟尔,ん……下の子達には、<br>もう戦ったりとか……<br>そういうこと、させたくない。,嗯……<br>我已经不想再让比我小的孩子……去战斗了。
8,ルリア/露莉亚,エッセルさん……<br>そうですね、みんなが平和に暮らせれば<br>それが一番ですもんね。,艾瑟尔小姐……<br>说得没错、大家都能平稳的生活才是最好的。
9,エッセル/艾瑟尔,ん……本当に、そう思うよ。,嗯……我真心这么认为。
