id,name,text,trans
0-chapter_name,,蒼空と星海,
0-synopsis,,賑やかに会話しながら進む一行。姬塔達は星トモの４人について、「チグハグだけど仲が良い」「バンドの時には息が合っていた」と語る。やがて一行は、魔物の糸が張り巡らされているところに到着する。しかし糸を取ろうとした瞬間、魔物が襲い掛かってくるのだった。,
1,サテュロス/萨提洛斯,メドゥちゃん……,
2,メドゥーサの声/美杜莎的声音,何ぼさっとしてんの！\n置いてっちゃうわよ！,
3,バアル/巴尔,ことの発端がえらそうに……,
4,サテュロス/萨提洛斯,バアルくんってば～,
5,バアル/巴尔,メドゥーサが弦を切らなければ\nここに来る必要も無かったのは事実だ。,
6,サテュロス/萨提洛斯,そうなんだけどね？\nそもそも、どうしてメドゥちゃんが\n弦を使い切っちゃったのか……,
7,サテュロス/萨提洛斯,バアルくん、知ってる？,
8,バアル/巴尔,知らん。\n説明されてないからな。,
9,サテュロス/萨提洛斯,あのね、メドゥちゃんは──,
10,メドゥーサ/美杜莎,サテュロス！,
11,メドゥーサ/美杜莎,いいわよ、そんな話は今。,
12,メドゥーサ/美杜莎,無駄話してないで、先を急ぐわよ！\nほら、ナタクを見なさいよ。\nあんな真剣に──,
13,ナタク/哪吒,ふむ……バアル。\nその魔物というのは、\nどういう場所に棲むんだ？,
14,ナタク/哪吒,吐き出す糸は巣なのか、\nそれとも狩りの……,
15,メドゥーサ/美杜莎,それもどうだっていいでしょー！？,
16,ビィ/碧,やれやれ……\n相変わらず、チグハグな奴らだぜ。,
17,ルリア/露莉亚,ふふっ、これが星トモの皆さんなりの\n仲良しなんですよね。,
18,メドゥーサ/美杜莎,だからぁ！　別に仲良しじゃないわよ！,
19,メドゥーサ/美杜莎,って、突っ込むのにも疲れたわ……,
20,ルリア/露莉亚,でも、バンドで演奏してる時は\n本当に息ぴったりだなぁって\n思いますよ！,
21,バアル/巴尔,…………！,
22,サテュロス/萨提洛斯,バアル……くん？\nどうかしたの？,
23,バアル/巴尔,……いや、なんでもない。\nそれよりも目的地は目の前だ。\n件の魔物に用心しろ。,
29,ナタク/哪吒,ここが……？,
30,バアル/巴尔,ああ、到着だ。,
31,ビィ/碧,んん？\nなにもない森の中にしか\n見えねーけど……,
34,ルリア/露莉亚,あっ！　でもよく見ると、\n木の間にきらきらした糸みたいなものが\nたくさん張られています。,
35,ビィ/碧,おっ！　確かに！,
36,サテュロス/萨提洛斯,わあー！\n本当にミスリルの糸なんだね！\n素敵～！,
37,メドゥーサ/美杜莎,そうね、なんだか綺麗……,
38,ナタク/哪吒,見ているだけで\n惹かれるものがあるな。,
39,ルリア/露莉亚,これを弦の材料にするんですね！,
40,バアル/巴尔,ああ。\n魔物の姿が見えない今のうちに\n糸を拝借するぞ。,
41,バアル/巴尔,そうすれば面倒なことには……,
42,メドゥーサ/美杜莎,それじゃ、ちゃちゃっと\nやっちゃいましょ！,
43,メドゥーサ/美杜莎,あっ！\nこれなんかよさそうじゃない？,
44,バアル/巴尔,<span class='scene-font-4'>おい待て！</span>\nむやみにその糸に触ったら……,
47,メドゥーサ/美杜莎,え……？,
48,魔物,……グワアアアァァァッ！！,
49,ルリア/露莉亚,きゃあっ！？\nま、魔物が……！,
50,ナタク/哪吒,ああ……なるほどな。\n巣のように糸を張る魔物は、糸に伝わる\n振動で、獲物の存在を感知する。,
51,ナタク/哪吒,不用意に巣に触れたことで\n魔物に気付かれたということか。\n興味深いな。,
52,サテュロス/萨提洛斯,わあ、さすがナタクさん！\n博識～！,
53,メドゥーサ/美杜莎,呑気なこと言ってる\n場合じゃないでしょー！？,
54,魔物,グオォォッ！！,
55,バアル/巴尔,ちっ！\n結局こうなるのか……！,
56,メドゥーサ/美杜莎,ヤバ……相手、すっかりやる気ね。,
57,バアル/巴尔,やむを得ん。追い払うぞ。\n加減を忘れるな、メドゥーサ。,
58,メドゥーサ/美杜莎,わかってるわよ！\nサテュロスとナタクもいいわね！,
59,サテュロス/萨提洛斯,オッケー♪,
61,ナタク/哪吒,了解した。,
62,バアル/巴尔,いくぞ！,
info,,,scene_chr811_q2_s10待翻
译者,,,
