id,name,text,trans
0-chapter_name,,事件の匂い,
0-synopsis,,ある日、艇内にあるバロワの出張探偵事務所から、バロワの相棒である犬が飛び出し走り去っていくのを見た姬塔達。どうやら、バロワ宛に届いた調査依頼と謎の脅迫状、２通の手紙が原因で喧嘩になったらしい。飛び出していった相棒を心配するサーヤは、バロワを姬塔達に託すと相棒の後を追いかけるのだった。,
2,バロワの相棒,ウオン！\nワンワン！\nアオ～ン！！,
3,バロワの相棒,……コホン。失礼。,
4,バロワの相棒,ご覧の通り、吾輩は犬である。\n名前はまだ伏せておこう。,
10,バロワの相棒,これからお見せするのは、やや諦めが\n早く、少々手が掛かり、体躯に見合わず\n些か小心でヘッポコ……ゴホンッ！,
12,バロワの相棒,そんな愛すべき腕白坊主であり、\n我が頼れる相棒の名探偵バロワと、\nその助手サーヤ、そして吾輩の……,
18,バロワの相棒,なんともスリリングでワイルド、\n且つハー……ソフトボイルドで、\n劇的な日常を描いた一幕である。,
24,,ある日、姬塔達が\nグランサイファーの中を\n歩いていた時のこと──,
25,バロワの声/巴洛瓦的声音,ええいっ！\nそっちじゃないと\n言っているだろう！,
26,ビィ/碧,おわっ！　なんだなんだ？,
27,ビィ/碧,あそこは……探偵のおっちゃんの\n部屋っぽいな。,
28,ルリア/露莉亚,何か揉めているんでしょうか？\n珍しいですね。\nどうしたんでしょう。,
29,バロワの声/巴洛瓦的声音,それはいい加減諦めるんだ！\nそれより見てみろこの報酬額！\nなかなか太っ腹じゃないか！,
30,ビィ/碧,……はは～ん、読めたぜ！\nきっとどの依頼を受けるのかで\n助手の姉ちゃんとモメてんだ！,
31,ルリア/露莉亚,なるほど！\nすごいですねビィさん！\n探偵さんみたいです！,
32,ビィ/碧,へへっ！\nこりゃオイラも名探偵として\n有名になっちまうかもしんねえな！,
33,ビィ/碧,にしてもよ、あのおっちゃんに\n依頼が複数舞い込むなんて、\n出世したもんだぜ……,
34,ルリア/露莉亚,ホントですね～……,
35,ルリア/露莉亚,ってしみじみしてる場合じゃ\nないですよ！\n揉め事なら止めましょう！,
36,,ビィ達がバロワの自室である\n出張探偵事務所のドアを\nノックしようとしたその時──,
39,サーヤ/萨雅,あれ、皆さん。\nお揃いでどうかしました？,
40,ビィ/碧,<span class='scene-font-4'>わっ！？</span>\n助手の姉ちゃん？\nなんでいんだ！？,
41,サーヤ/萨雅,ちょっと買い出しに行ってまして。\n今戻ったところなんですが……,
42,ビィ/碧,え？　じゃあ、部屋でおっちゃんと\nモメてんのって……？,
45,バロワの相棒,ワフッ！,
48,ビィ/碧,えええっ！？,
51,バロワ/巴洛瓦,む？\nおお、ビィ君達か。,
52,サーヤ/萨雅,<span class='scene-font-4'>先生！</span>\n今すごい勢いで相棒さんが\n走って行きましたよ？,
53,ビィ/碧,おっちゃん犬と喧嘩してたのかよ！？\n一体何があったってんだ？,
