id,name,text,trans
0-chapter_name,,ゼタの因縁,泽塔的因缘
0-synopsis,,とある島に近づいた時の事。突然、ゼタがその島に寄りたいと言い始め、一行はゼタの要望を叶えるため島の発着場へ向かう。島に着くや否や、ゼタは島の領主に用事があるといってどこかへ向かって行ってしまう。一行が後を追いかけるとゼタは何か因縁を抱えているような素振りを見せるのだった。,是靠近某个岛时的事。突然，泽塔开始说想顺路去那个岛，一行为了实现泽塔的要求去岛的停降处。一到岛上，泽塔就说找岛屿的领主有事去了哪里。一行人从后面追上泽塔，不知道什么缘由她看起来似乎背负了什么的样子。
0,,とある島に近づいた時の事。\n突然ゼタが騒ぎ始めた。,靠近某个岛时的事。\n突然泽塔开始吵闹起来。
1,ゼタ/泽塔,ねえねえ！\nちょっと悪いんだけど！,内内！\n稍微有点不好意思！
2,カタリナ/卡塔莉娜,おや、どうした？　ゼタ。\n珍しく腰が低いというか……,哦呀，怎么啦？泽塔。\n难得这么谦逊……
3,ゼタ/泽塔,あのさ、\nあの島にちょっと用があるんだけど……\n寄ってけない？,那个，\n那个岛上稍微有点事……\n可以顺道去一下吗？
4,カタリナ/卡塔莉娜,ふむ……\n急ぎの依頼があるわけでもない。\n構わんが、一体どうした？,嗯……\n也没有紧急的委托。\n应该没问题，怎么啦？
5,ゼタ/泽塔,この島の変な噂を聞いたんだ。\nそれを確かめに、ちょっと。,这岛上听说有奇怪的传闻。\n为了稍稍确认一下。
6,,騎空艇が進路を変え、\n島の発着場へと到着した。,骑空艇改变了行进路线，\n到了岛屿的停降处。
8,ゼタ/泽塔,じゃ、行ってくる！\n人に会ったらすぐ戻るから！\n,那，我去了！\n见到人就会立刻回来！
10,ビィ/碧,おーい！　赤い姉ちゃん！\nそんなに急いで誰に会うってんだ？,喂！红色的姐姐！\n这么着急是为了去见谁呀？
11,ゼタの声/泽塔的声音,ここの領主ー！,这里的领主！
12,ビィ/碧,領主だぁ！？\nあの赤い姉ちゃん、\nここの領主とどういう関係なんだ？,领主！？\n这红色的姐姐和领主是什么关系？
13,カタリナ/卡塔莉娜,ふむ……もしや……,嗯……没准……
14,ビィ/碧,うん？　何か知ってるのかぁ？,嗯？你知道什么吗？
15,カタリナ/卡塔莉娜,いや、はっきりとは\n覚えていないのだが……,不，虽然记得不是很清楚……
16,カタリナ/卡塔莉娜,金髪で容姿の麗しい凄腕の女騎士が\nどこかの島の領主を冒涜し、\n罪人として手配されている……,金发的样貌美丽身手矫健的女骑士，\n冒犯了哪个岛屿的领主，\n被作为罪人而追捕……
17,カタリナ/卡塔莉娜,そんな話を聞いた事があった。\nもしや、それはゼタの事では……,听到过这样的事。\n难道说，这是说泽塔的事吗……
18,ビィ/碧,おいおい……\nって事は手配書を出した領主が\nここの領主かもしれない、って事かぁ？,喂喂……\n就是说发出悬赏令的领主\n或许就是这里的领主吗？
19,カタリナ/卡塔莉娜,そういう事になるな。\n……まさか、手配書を出した報復に……,变成那样的事了吗。\n……难道说，是对发出悬赏令的报复……
20,ビィ/碧,こうしちゃいらんねぇ！\n追うぞ！　姬塔！,这样可不行！\n我们追！姬塔！
24,ビィ/碧,おーい！　赤い姉ちゃん！,喂！红色的姐姐！
25,ゼタ/泽塔,はぁ！？　なんでビィが来てんの！？\n姬塔にカタリナも！\n艇で待ってろって言ったじゃない！,哈！？为什么碧会来！？\n怎么还有姬塔和卡塔莉娜！\n不是说要在骑空艇等着的吗！
26,カタリナ/卡塔莉娜,ああ……貴殿の身を案じての事だ。\n手配書の話をつけにきたのかと……,啊……是担心您人身安全的事。\n商谈悬赏令的事……
27,ゼタ/泽塔,……なんか知ってるの？\nまぁ、いいけど。,……你们知道什么吗？\n嘛，也没关系。
28,ゼタ/泽塔,あたしの過去の因縁だから、\n巻き込むのも嫌だったんだよね。,我因为过去的因缘，\n也讨厌卷入其中。
29,荒くれ者１/小混混１,なあ、あの女……\nありゃあ、前見かけた手配書の……,呐，那个女的……\n是之前见到的悬赏令上的……
30,荒くれ者２/小混混２,だな。賞金はいくらだ？,是啊。赏金是多少？
31,荒くれ者１/小混混１,さあな。\n突き出してから確かめりゃいいさ。\n行くぞ。,谁知道呢。\n抓到之后确认一下就好了。\n上。
32,ゼタ/泽塔,ああ、やっぱり。\nめんどくさい事になった……,啊，果然。\n遇到麻烦的事情了……
info,,,scene_chr104_q1_s10
译者,,,
