id,name,text,trans
0-chapter_name,,陽の当たる診療室,
0-synopsis,,とある冬、星屑の街では風邪が流行し、ネハンの診察室では風邪の薬の在庫が底をつきかけていた。周辺の島にも薬の在庫がなく、ネハンは薬を手に入れるため、また最新の医療の知識に触れるため、レイに外出許可を取る。ネハンの護衛兼見張りは姬塔達の騎空団に依頼が出され、シエテの勧めでシスが担当することになるのだった。,
1,,冬の終わりとはいえ、\nまだまだ寒い日が続く頃。,
2,,星屑の街の片隅にある診療室で\nネハンは少年の診察を進めていた。,
3,ネハン/涅槃,喉の様子を見る。\n口を大きく開いてくれ。,
4,朗らかな男の子/爽朗的男孩子,あー……,
5,ネハン/涅槃,……閉じていいぞ。\n炎症はほとんど治まっている、か。,
6,ムゲン/无限,たいおん、も、いつも……\nええと、へいねつ！,
7,朗らかな男の子/爽朗的男孩子,もうバッチリいつも通りだよ～？\nセンセってば心配性！,
8,おませな女の子/早熟的女孩子,そんなこと言って、\n一回ぶり返したんでしょ！,
9,ムゲン/无限,カゼ、とてもつらい。\nぜんぶきちんとなおす、だいじ。,
10,朗らかな男の子/爽朗的男孩子,はーい……\n確かに、ぶり返してセンセに\n迷惑かけちゃったし……,
11,ネハン/涅槃,別段、迷惑ではない。,
12,ネハン/涅槃,だが、この冬は感冒が\n随分と流行したな……,
13,おませな女の子/早熟的女孩子,私は早いうちに引いちゃったけど、\nみんなどんどん熱出して\nびっくりしたね……！,
14,ムゲン/无限,ムゲン、じょうぶよかった。\nみんな、かんびょうできて……,
15,ネハン/涅槃,ふたり共、良く手伝ってくれた。\n礼を言う。,
16,ムゲン/无限,えへへ……,
17,おませな女の子/早熟的女孩子,薬草刻むくらいなら\n私でもできるって分かったし、\nまたいつでも手伝うからね！,
18,ネハン/涅槃,ああ、有難い。\nお陰で診察に集中できた。,
19,ネハン/涅槃,しかし……この冬の感冒は\n長引くことが多くて\n厄介だったな。,
20,ネハン/涅槃,一応のところは\n一般的な対応で\n悪化は抑えられたが。,
21,ムゲン/无限,おくすり、のこるない。\nかうしないと……,
22,おませな女の子/早熟的女孩子,それがね、この辺り一帯の島、\nどこも同じ風邪が\n大流行りしたみたいで……,
23,ネハン/涅槃,薬の在庫がない、か……,
24,おませな女の子/早熟的女孩子,うん……\n仕入れ担当の子が\nどうしよーって焦ってた。,
25,ネハン/涅槃,弱ったものだな。\n流行は一段落したとはいえ、\nまだ気温の低い時期は続くだろう。,
26,ネハン/涅槃,体力に不安のある子供達も多い。\nもう一度感冒が流行ることも\n十分あり得る……,
27,ムゲン/无限,たとえば、とおくしま、\nおくすりあまる。\nちがう？,
28,ネハン/涅槃,確かに、感冒の流行と無関係の島なら\n同じ薬が余る可能性はあるが……,
29,ネハン/涅槃,そういう島は、星屑の街が\n普段使っているのとは\n違う販路を持っているだろうからな……,
30,ムゲン/无限,はんろ……,
31,ネハン/涅槃,…………,
32,ネハン/涅槃,尋ねてみる、か……,
33,,ひとつ手段を思いついたネハンは、\nその夜一通の手紙を書き\nエッセルを通して郵送した。,
41,ネハン/涅槃,邪魔をするぞ。,
42,活発な女の子/活泼的女孩子,はいはーい、何をお求め……,
