id,name,text,trans
0-chapter_name,,悔悟の先にあるもの,
0-synopsis,,城下町の復興作業が始まって数日、ノイシュはホリンと共に作業に参加する。城下町の瓦礫の片づけをしていると、そこにエルバハの目を盗んで会議所から抜け出してきたスカーサハが、真龍ディアドラとして魔物を連れて現れた。アルスター島の住民達は人も魔物も垣根無く復興に向けて力を合わせる。住民達と共に復興に励むノイシュは、そのために龍徒の力を振るうのだった。,
1,,城下町の復興作業が始まって数日。\nノイシュはホリンを伴い、\n作業に参加していた。,
2,ホリン,クゥは、ノイシュさまといっしょに\nまちの人たちのお手伝いですか？,
3,ノイシュ/诺伊修,ああ。フェルディアは母上と共に\n会議所で片づけを\n手伝ってくれることになっている。,
4,ノイシュ/诺伊修,まだ街に残された瓦礫も多い。\nホリンには私と共に\nそれらをどかす作業を頼みたい。,
5,ホリン,<span class='scene-font-4'>はーい！</span>\nクゥは力もちだから、\nみんなの分までがんばります！,
6,ノイシュ/诺伊修,その意気だ。\nさあ、行こうホリン。,
12,ホリン,あっ！　おばーちゃーん！\nおてつだいしにきたよー！,
13,城下町のお婆さん,あらまあ、ホリンちゃん！\nそれにノイシュ様も、\n今日も来てくださったんですか。,
14,ノイシュ/诺伊修,ああ、もちろんだ。\n力仕事の人手が必要なら、\n遠慮なく言ってほしい。,
15,城下町のお婆さん,ありがとうございます。\nそれじゃあ一緒に大通りを\nお片付けしましょうね。,
16,ホリン,まかせて、おばーちゃん！\nクゥもノイシュさまも、\nすっごくちからもちなんだから！,
21,城下町のお婆さん,あらあら、まあまあ！\nあっという間にこんなに片付いて。,
22,ホリン,えへへ～,
23,ノイシュ/诺伊修,ひとまず瓦礫はこんなものだろうか……\nご婦人、他にお手伝いできることは？,
24,城下町のお婆さん,ありがとうございます、ノイシュ様。\nホリンちゃんも、\nひとまず休憩しましょう。,
25,城下町のお婆さん,さ、お茶を淹れて来ましょうねぇ。,
26,,他の人々も片づけに勤しみ\n賑やかな街の片隅で、\nノイシュ達はお茶を飲みひと息つく。,
27,城下町のお婆さん,あのう、ノイシュ様。\nスカーサハちゃんは\nお元気ですか？,
