id,name,text,trans
0-chapter_name,,純粋なる罪悪,纯粹的罪恶
0-synopsis,,ザ・サンとの戦いから数日後、姬塔達に助けられたアラナンは宿屋で目を覚ます。「皆に合わせる顔がない」と嘆くアラナンだったが、皆待っている、またやり直せばいいと姬塔達に励まされ涙を流す。その翌日、アラナンは贖罪の為の旅に出るという手紙を残し姿を消し、信者達はアラナンの為に教会を守っていこうと誓うのだった。,在与太阳的战斗结束后过了几天，被姬塔一行救下的阿拉南在旅店醒来。他叹息道【没脸再见大家了】，但姬塔等人鼓励他说大家在等他，重新开始就好。阿拉南流下了泪水。次日，阿拉南留下了一封信就消失了，信上说自己要踏上赎罪的旅途，信徒们则誓言要为阿拉南守护教会。
1,,姬塔一行が、\nザ・サンとの戦いを制して\n幾日が経った頃──,姬塔一行、\n在成功战胜太阳后，\n过了几天──
2,？？？,うっ、うああああっ！,唔、唔啊啊啊！
8,アラナン/阿拉南,はぁ、はぁはぁ……\nこ、ここは……？,哈啊、哈啊哈啊……\n这、这里是……？
9,ビィ/碧,おい！　姬塔！\n司祭の爺さんが\n目を覚ましたみたいだぜ？,喂！　姬塔！\n司祭老爷子\n好像醒了哦？
11,ルリア/露莉亚,具合はどうですか？\n傷は痛みませんか？,感觉怎么样？\n伤口还疼吗？
12,アラナン/阿拉南,嬢ちゃん達がワシを……,是小姑娘你们将老夫我……
13,ルリア/露莉亚,はい。でもホッとしました。\n３日間も寝てたんですよ。,是的。不过总算松了一口气。\n你已经昏睡了三天呢。
14,アラナン/阿拉南,（……死に損なったか……）,（……居然没死成吗……）
15,,アラナンは首に巻かれた包帯に触れ、\n下唇を噛む。,阿拉南摸着缠在脖子上的绷带、\n咬紧了下唇。
16,ルリア/露莉亚,お腹空きませんか？\n何か持ってきましょうか？,肚子饿吗？\n要不要我拿些什么过来？
17,アラナン/阿拉南,いや、ワシのことは気にすんじゃ──,不、不需要在意老夫──
18,アラナン/阿拉南,──な、なぁ！\nあの星晶獣は……？,──等、等等！\n那个星晶兽……？
19,アラナン/阿拉南,街の皆や信者達は無事か！？,城里的大家和信徒们都没事吗！？
20,ビィ/碧,安心しろって！\nオイラ達がやっつけてやったぜ！,放心吧！\n我们已经解决掉了！
21,ルリア/露莉亚,街の皆さんも信者さん達も無事ですよ！,城里的大家和信徒们都平安无事哦！
22,アラナン/阿拉南,そうか……,这样啊……
23,,アラナンは\n街の人々の無事を知り安堵すると、\n姬塔一行に鋭い視線を向ける。,阿拉南\n得知城里的人们安然无恙后放心了下来、\n但随即用锐利的眼神盯向姬塔等人。
24,アラナン/阿拉南,貴殿ら……\n何故ワシを助けた？,各位……\n为什么要救老夫？
25,アラナン/阿拉南,ワシは貴殿らを利用し、\n此の世界を滅ぼそうとしたんだぞ？,老夫可是利用了各位、\n试图毁灭这个世界啊？
26,ビィ/碧,まぁ、そうっちゃそうなんだけどよ……\nなぁ、姬塔？,嘛、非要这么说的话是这样啦……\n呐、姬塔？
26-sel1_txt,,悪いのはアーカルムの星晶獣だよ,罪魁祸首是那个阿卡姆的星晶兽
27,アラナン/阿拉南,なっ……,什……
28,ビィ/碧,司祭の爺さんもアイツに\n騙されてたんだ。\n仕方ねぇよ……,司祭老爷子也是\n被那家伙骗了。\n这是没办法的事……
29,ルリア/露莉亚,だからもう、\nあんなこと……しないで下さいね。,所以、\n请不要再做……那样的事情了。
30,アラナン/阿拉南,…………,…………
35,アラナン/阿拉南,……！？,……！？
36,ルリア/露莉亚,どうしました？,怎么了吗？
37,アラナン/阿拉南,嬢ちゃんから、\nあの星晶獣の残滓を感じる……\nどういうこった？,我从小姑娘你那里、\n感觉到了那个星晶兽的残余……\n这是怎么回事？
38,ビィ/碧,ルリアは星晶獣の力を\n吸収することができるんだぜ！,露莉亚可以吸收\n星晶兽的力量啊！
39,ビィ/碧,だから、\nこの間の奴の気配を感じるのも\n無理ねーのかもな。,所以、\n她上次能感知到那家伙的气息\n也不奇怪吧。
40,アラナン/阿拉南,なんだと……！？,什么……！？
41,ルリア/露莉亚,もうアーカルムの星晶獣が\n悪さをすることはありません。\nだから心配しないで下さい。,现在阿卡姆的星晶兽\n已经不能再作恶了。\n所以请不要担心。
42,アラナン/阿拉南,そうか……\nそいつはよかった……,这样啊……\n那就好……
43,,思いつめるようなアラナンの姿に\n耐えきれなくなったルリアは、\n空気を変える為、話題を提供する。,看到阿拉南一脸愁容的样子，\n露莉亚有些不忍、\n试图转换话题来缓和气氛。
44,ルリア/露莉亚,あ、そういえば……,啊、说起来……
45,ルリア/露莉亚,いま、信者の皆さんや街の人達で\n力を合わせて、燃えてしまった教会を\n建て直してるんですよ。,现在、信徒们和城里的大家\n正在齐心协力、\n重建被烧毁的教会哦。
46,アラナン/阿拉南,……え？,……欸？
47,ビィ/碧,教会がなけりゃ、\n司祭の爺さんも困んだろ？,没有教会的话、\n司祭老爷子你也会很困扰吧？
48,ルリア/露莉亚,皆さん、\nアラナンさんが帰ってくるのを\n待ってるんです。,大家、\n都在等你回来呢，\n阿拉南先生。
49,アラナン/阿拉南,ワシは……ワシは単なる悪党だ……,老夫……老夫不过是个恶徒而已……
50,アラナン/阿拉南,レナトゥス教の司祭のくせに、\n戒律を破り、\n悪因に満たされたんだ。,作为雷纳特斯教的司祭、\n破坏了戒律、\n充满了恶因。
51,アラナン/阿拉南,皆に合わす顔が\nどこにあるっていうんだ！,我哪里有脸\n去面对大家！
52,ルリア/露莉亚,それでも……\n皆さんはアラナンさんを待ってます。,即便如此……\n大家依然在等着阿拉南先生。
53,ルリア/露莉亚,アラナンさんは、\nこの街に必要な人なんです！,阿拉南先生、\n对这座城镇来说是不可或缺的人！
54,アラナン/阿拉南,ふははっ……\n嬢ちゃんは優し過ぎるぜ。,哈哈……\n你这姑娘也太善良了。
55,ビィ/碧,司祭の爺さんよぉ、\n弱気になってんじゃねーよ！,司祭老爷子啊、\n别这么消极！
56,ビィ/碧,街の皆の気持ちを\nちゃんと考えてやれよ！,你也该好好考虑一下\n城里的大家的心情吧！
57,アラナン/阿拉南,……こんなワシが\n彼らに何をしてやれると言うんだ？,……这样的老夫\n能为他们做什么呢？
58,アラナン/阿拉南,ワシにはもう……\n何も残されちゃいねぇんだぞ？,老夫我已经……\n一无所有了啊？
58-sel1_txt,,一からやり直せばいい！,一从头再来就好了！
59,アラナン/阿拉南,……え？,……欸？
60,ルリア/露莉亚,そうですよ！\n前に言ってたじゃないですか。\n人間、やり直しはきくって。,对啊！\n你之前不是也说过吗。\n人、总是可以重新开始的。
61,ルリア/露莉亚,それに……信者の皆さんや街の人達は\nアラナンさんの教えを\n実行しているだけなんですよ？,而且……信徒们和城里的人们\n只是在实行\n阿拉南先生的教导吧？
64,アラナン/阿拉南,大きなくくりで言やぁ、\n街の人間ってのは、\n家族みてぇなもんだと思ってる。,广义上来说、\n我们觉得城里的人\n就像家人一样。
65,アラナン/阿拉南,身近に暮らしてんだ……\n何かあれば手を差し伸べるのは同じ。,大家生活在一起……\n遇到什么事互相帮助是理所当然的。
66,アラナン/阿拉南,同じ家に住んでるかどうかってのは\n小っちぇ話だと思うんだよ。\n同じ土地で協力して暮らす仲間なんだ。,是不是住在同一栋房子里，\n在我们看来并不重要。\n重要的是我们是在同一片土地上一起生活的伙伴。
67,アラナン/阿拉南,困ってることがありゃ、\nここにくりゃいい。\nワシらは全力で助ける。,有困难的话、\n来这里就行。\n老夫一行会尽全力帮忙。
68,アラナン/阿拉南,教会ってのは、皆の家だからな。,因为教会啊、是大家的家嘛。
