id,name,text,trans
0,ユイシス/优希斯,姬塔、<br>バレンタインのお返し、<br>ありがとうございます。,姬塔，谢谢你的情人节返礼。
1,ユイシス/优希斯,ふふっ……,呵呵……
2,ユイシス/优希斯,あ、いえ……姬塔から、<br>お返しをもらえるのは<br>やっぱり、嬉しいなと思って……,啊，不……只是我在想，<br>能从姬塔这里收到返礼果然很开心……
3,ユイシス/优希斯,ねぇ、姬塔。<br>その……中、みてもいい？,姬塔，那个……<br>我可以看看里面吗？
5,ユイシス/优希斯,え、これって……盃？,哎，这是……酒杯？
6,ユイシス/优希斯,以前、盃を貰ったから、<br>そのお返し？,以前收到过酒杯，所以就返送？
7,ユイシス/优希斯,いつの日か、<br>お互いにプレゼントし合った盃で<br>一緒に飲もうって……,你说希望有一天可以用互相赠送的酒杯喝酒……
8,ユイシス/优希斯,…………,…………
9,ユイシス/优希斯,ありがとうございます、<br>姬塔！,谢谢你，姬塔！
10,ユイシス/优希斯,そのようなことを姬塔から<br>言ってもらえるなんて<br>感謝の極みです！,没想到姬塔会跟我说这些话，实在是感动至极！
11,ユイシス/优希斯,それとこの盃は<br>家宝にさせていただきます！,还有这个酒杯我会当成家宝的！
info,,,scene_s3_white_3071_v1_0_2003_3_3040105000_1
