id,name,text,trans
0-chapter_name,,信託せよ,信託せよ
0-synopsis,,とある島に降り立った姬塔一行。リヴァイは、壁のない世界を初めて訪れ、胸を熱くするものの、街が騒然とし、男性の姿がないことに気づく。街の女性達は、男達が山へ島の特産品のウットリュフを採りに行っていると話すが、何やら隠し事をしている様子だった。その時突然、山が揺れ、老婆は山の主の怒りだと狼狽える。一行は心配する女性達を宥め、山にいる男性達の救出に向かうのだった。,姬塔一行人降落到了某个岛上。利威尔初次来到没有墙壁的世界，心中变得炽热起来。他注意到了热闹的街道上却没有男人的身影。街上的女性说，男人们都去到山里采集岛上的特产乌特鲁夫了，但她似乎在隐瞒着什么。这时，山突然开始摇动，一位老婆婆惊慌失措地说到山之主生气了。一行人安慰了担心着他们的女人们后，为了救出山里的男人，去向了山里。
5,,<span class='scene-font-katari'>姬塔から、</span><br><span class='scene-font-katari'>騎空艇の一室を与えられたリヴァイは、</span><br><span class='scene-font-katari'>一心不乱に部屋掃除に励んでいた。</span>,<span class='scene-font-katari'>姬塔将骑空团的一间房间分配给了利威尔后，</span><br><span class='scene-font-katari'>利威尔一心一意地打扫着房间。</span>
6,,<span class='scene-font-katari'>戸棚の裏は当然のこと、</span><br><span class='scene-font-katari'>更には窓の桟までしっかりと汚れを</span><br><span class='scene-font-katari'>拭き取っている。</span>,<span class='scene-font-katari'>壁橱里是当然要打扫的，</span><br><span class='scene-font-katari'>除此之外，利威尔还细致地打扫着窗框里的污物。</span>
7,リヴァイ,…………,…………
8,ビィ/碧,へぇ～、しっかし、<br>人は見かけによらないもんだな。,诶～，还真是人不可貌相啊。
9,ビィ/碧,兵長の兄ちゃんが<br>こんなに綺麗好きとはよぉ。,兵长小哥居然这么爱干净啊。
10,リヴァイ,こんなものは当たり前のことだろうが。,这些只是理所应当的事吧。
11,ルリア/露莉亚,あれ？　リヴァイさん……<br>そこはもう姬塔が<br>掃除したところですよ？,咦？利威尔先生……<br>那里姬塔不是扫过了吗？
12,,<span class='scene-font-katari'>ルリアの言葉を聞いたリヴァイは、</span><br><span class='scene-font-katari'>掃除の手を止め、</span><br><span class='scene-font-katari'>姬塔をじろっと睨みつける。</span>,<span class='scene-font-katari'>听到露莉亚的话后，</span><br><span class='scene-font-katari'>利威尔停下扫除的手，</span><br><span class='scene-font-katari'>死死地盯着姬塔看。</span>
13,リヴァイ,この程度で掃除したという人間が<br>騎空団の団長とはな……<br>俺は戦場でお前を信じてもいいのか？,骑空团的团长就是扫除做成这个样子的人啊……<br>在战场上我能相信你吗？
14,ビィ/碧,掃除と戦うことを<br>一緒くたにしなくてもよぉ……,别把扫除和打仗混在一起说啊……
15,リヴァイ,どうなんだ、姬塔。,你怎么想的，姬塔。
15-sel1_txt,,<span class='scene-font-katari'>信じて欲しい</span>,<span class='scene-font-katari'>我希望你能相信我。</span>
15-sel2_txt,,<span class='scene-font-katari'>なんかゴメン……</span>,<span class='scene-font-katari'>总感觉很抱歉……</span>
16,リヴァイ,フン、掃除すら満足に出来ない奴を<br>信用しろとはな。,哼，让我相信一个连扫除都做不好的人吗。
17,ビィ/碧,んだとぉ！？<br>姬塔だって、<br>一所懸命掃除してたんだぞ！,什么！？<br>姬塔可是十分努力地在扫除啊！
18,リヴァイ,フン、謝るぐらいなら<br>最初からもっとちゃんとするんだな。,哼，要道歉的话<br>一开始就给我好好做啊。
19,ルリア/露莉亚,はい……,是……
20,ビィ/碧,なんでルリアまで、<br>反省してんだよ……,为什么连露莉亚都在反省啊……
