id,name,text,trans
1,アンリエット,ごほっ、ごほっ……<br>あ、姬塔さん。<br>あけましておめでとう。,咳咳，咳咳……<br>啊，姬塔。<br>新年快乐。
2,アンリエット,……ごめんなさい。<br>その……風邪をひいちゃった<br>みたいで……,……抱歉。<br>那个……我好像感冒了……
3,アンリエット,みんなにうつったら悪いから<br>私は部屋に戻るわね。,要是传染大家就不好了<br>我回房间去了。
4,アンリエット,え、看病？<br>そんな……いいの？,诶，要照顾我？<br>那……可以吗？
5,アンリエット,ふふっ、ありがとう。<br>そのね……実を言うと<br>一人は少し心細かったの。,呵呵，谢谢你。<br>那个啊……实话说<br>我一个人感觉有点寂寞呢。
6,アンリエット,だから、とっても嬉しいわ。,所以我很高兴。
7,アンリエット,ね、良かったら<br>私が眠るまで、<br>傍にいてくれないかしら？,呐，可以的话，<br>直到我入睡为止，<br>都待在我身边吧？
8,アンリエット,お願い、姬塔さん。,拜托了，姬塔。
info,,,scene_s5_newyear_3045_v1_0_2001_5_3040058000
译者,,,
