id,name,text,trans
0,スカーサハ,料理を得意とする団員達による<br>聖夜の晩餐、なかなか豪勢なものだな。,由擅长做饭的团员们做出的平安夜晚餐<br>还真是十分豪华呢。
1,スカーサハ,味も自慢できるものだろうが、<br>まず見た目の良いものが多い。<br>目にも楽しいというのは面白いものよ。,味道好不好吃还不知道，<br>首先好看的就有很多。<br>兼顾视觉享受还真是有趣啊。
2,スカーサハ,美味そうに見せる、<br>という意味合いもあろうが<br>それだけとも思えぬ。,这么做是想让菜品看上去好吃，<br>或许有这种意思，<br>但我觉得不仅仅是这样。
3,スカーサハ,食材となった他の命への感謝、<br>仲間と共に生きる糧を<br>分かち合う喜び……,还有对成为食材的其他生命的感谢，<br>对与伙伴一起分享食物的喜悦……
4,スカーサハ,食卓を共に囲む者達を<br>喜ばせようという心遣いも<br>勿論あろう。,当然还包含着想让围着餐桌的人们开心的心意。
5,スカーサハ,或いは、料理という技術を生み出した<br>古き血族への感謝や引き継いだものを<br>更に洗練したという証左、か。,或者这是对创造了料理技术的先人的感谢<br>以及将继承的事物百般磨练的证据吗。
6,スカーサハ,……実に、興味深い。,……真是有趣啊。
7,スカーサハ,さて、料理が冷めては面白くない。<br>吾も姬塔達と共に<br>晩餐を囲む栄誉に預かるとしよう。,那么，菜肴要是冷了就不有趣了。<br>就让我有幸与你们一起围着吃晚餐吧。
info,,,scene_s2_christmas_3080_v1_0_2005_2_3040122000
译者,,,
