id,name,text,trans
0-chapter_name,,猫は只今御満悦！,
0-synopsis,,姬塔やルリア、騎空艇の面々の誰からも素っ気ない態度を取られ続ける悪夢を見るイーウィヤ。その横で、ならず者は奪った編み細工を観光客に高値で売りつけようとしていた。その声に起こされたイーウィヤは怒りを爆発させ、ならず者を風で吹き飛ばしたのだった。,
1,,編み細工と共に雑踏へと運ばれた\nイーウィヤは、\n夢を見ながら寝息を零していた。,
2,イーウィヤ/伊维亚,にゃ……ぐ……,
8,イーウィヤ/伊维亚,特異点～！,
9,,姬塔を見つけたイーウィヤは、\n足元にまとわりついて\n存在を主張する。,
13,イーウィヤ/伊维亚,イーウィヤを\nナデナデすることを許すのじゃ！,
14,イーウィヤ/伊维亚,ほら、早く……,
15,イーウィヤ/伊维亚,…………にゃ？,
18,,だが姬塔は、\n邪魔そうにイーウィヤを避けると\nそのまま歩き去ってしまった。,
19,イーウィヤ/伊维亚,にゃっ……にゃっ……！？,
20,イーウィヤ/伊维亚,何と言う不遜な態度！\nイーウィヤが折角ナデナデすることを\n許してやったというのに……,
21,イーウィヤ/伊维亚,ふーん！　もういいのじゃ！\n特異点なんぞ知らんのじゃ～！！,
22,,プリプリと怒りながら\nイーウィヤは騎空艇の室内へと\n足を向ける。,
27,,食堂の前を通りかかったイーウィヤは、\nそこで料理の皿を並べている\nルリアの姿を見つける。,
30,イーウィヤ/伊维亚,にゃ～ん！,
31,イーウィヤ/伊维亚,蒼の娘よ！\nイーウィヤに味見をさせる栄誉を\n与えてやるのじゃ！,
32,イーウィヤ/伊维亚,その中で最も美味しい料理を\nイーウィヤに寄越すのじゃ～！,
33,,椅子に飛び乗り主張するイーウィヤに\n気付かないのか無視しているのか、\nルリアは応じずに作業を続ける。,
34,イーウィヤ/伊维亚,蒼の娘！\n聞いておるのじゃ～！？,
35,イーウィヤ/伊维亚,う、うぅ……無視しよってぇ～……！\n聞こえておるのじゃろ！,
36,イーウィヤ/伊维亚,イーウィヤに味見を\nさーせーるーのーじゃー！！,
37,,前脚を伸ばして料理の皿を\n引き寄せようとするイーウィヤを、\nルリアは抱き上げて部屋の外へ出す。,
40,イーウィヤ/伊维亚,にゃっ！？,
41,イーウィヤ/伊维亚,な、なにをするのじゃ！？\nイーウィヤを……,
48,イーウィヤ/伊维亚,イーウィヤを……\n締め出した……じゃと……？,
49,イーウィヤ/伊维亚,な、な、な、なんという\n生意気な態度！！,
50,イーウィヤ/伊维亚,蒼の娘のことなど\nもう知らんのじゃ～！！,
51,,むくれたイーウィヤは自分を構う\nヒトの子を探すが、騎空艇の中の\n誰もに素っ気ない態度を取られ続ける。,
56,イーウィヤ/伊维亚,にゃ……,
57,イーウィヤ/伊维亚,な、なんで……,
58,イーウィヤ/伊维亚,イーウィヤはこんなにも\n尊くて素晴らしくて可愛くて、\n大事に大切にされるべき存在なのに……,
59,イーウィヤ/伊维亚,何故どいつもこいつも\nイーウィヤのことをちやほやどころか\n粗雑に扱うのじゃ！？,
60,イーウィヤ/伊维亚,酷いのじゃ！！\nあんまりなのじゃぁあああああ！！,
61,,床に転がりうねうねと体を揺らして\n不満を訴えるイーウィヤに、\nしかし応える声は誰もいない。,
62,イーウィヤ/伊维亚,うっ……うぅっ……ふぐっ……,
63,イーウィヤ/伊维亚,なんでなのじゃぁ……,
69,イーウィヤ/伊维亚,……にゃっ……ぅにゃっ……,
70,,うなされるイーウィヤの入った\n藁の壺を含む編み細工を載せた台車は、\n商店街の端までやってきていた。,
71,観光客/游客,へぇ～、藁で作った細工物ねぇ。\nお兄さん、こいつは\n幾らくらいかな？,
72,ならず者/暴徒,へへぇ、お目が高い！\nこいつぁ10000ルピですかね。,
73,観光客/游客,10000ルピ！？\nそれはちょっと、\n流石に手が出ないかな……,
74,ならず者/暴徒,あぁ！？,
75,観光客/游客,ひっ！？,
76,ならず者/暴徒,店のモンにベタベタと触っときながら\n手が出ねぇだと！？\n<span class='scene-font-4'>ナメてんのかコラ！</span>,
77,イーウィヤの声/伊维亚的声音,ん……んん……,
78,イーウィヤの声/伊维亚的声音,うるっさいのじゃー！！,
79,ならず者/暴徒,はぁ！？\n今のはどこのどいつ……,
81,観光客/游客,<span class='scene-font-4'>ヒィイイイ！</span>\n助けてくれぇ！！,
84,ならず者/暴徒,あっ！　おい！！,
85,ならず者/暴徒,クソッなんだ今の突風は！\nカモが逃げちまったじゃねぇか！,
86,イーウィヤ/伊维亚,なんだというのは\nこっちの台詞なのじゃ！！,
87,ならず者/暴徒,なっ……！？\nね、猫が喋った！？,
88,イーウィヤ/伊维亚,ただの猫と侮るでないのじゃ！\nイーウィヤこそは六竜の『翠』！,
89,イーウィヤ/伊维亚,貴様のそのゴチャゴチャと\n煩わしい声が\nイーウィヤに悪い夢を見せたのじゃ！,
90,イーウィヤ/伊维亚,この苛立ち……不快さ……\n貴様の身で贖うが良いのじゃ！！,
91,ならず者/暴徒,はっ、喋るったって\n猫のくせに生意気な……,
92,ならず者/暴徒,売り飛ばして金にしてやるよ！,
93,イーウィヤ/伊维亚,無礼な……！,
94,イーウィヤ/伊维亚,生意気なのは\nそちらの方なのじゃ！,
95,イーウィヤ/伊维亚,イーウィヤの力で……\nぶっ飛ばしてやるのじゃ！！,
101,イーウィヤ/伊维亚,にゃぁあああああ！！,
102,ならず者/暴徒,ぎゃっ……！？,
103,イーウィヤ/伊维亚,にゃあああん！！,
info,,,scene_chr796_q2_s10（待翻）
译者,,,
