id,name,text,trans
0-chapter_name,,皆のカロに,成为大家的卡洛
0-synopsis,,アルテは島民と交流する中で多くを学び、空の民の生き様を心から愛していく。ある時アルテは島民から「カロ」と呼ばれる。それは「愛すべき隣人」という意味の島特有のあだ名だった。それを聞きアルテは皆とカロと呼び合いたいと願う。しかし時が流れるとアルテは島民から正体を疑われ、街を去る。すると星の民はアルテに、島民に与えた芸術を愛でる心を奪えと命じるのだった。,阿尔特在与岛民的交流中学到很多东西，发自内心地喜欢上了空之民的生活方式。从某个时期开始，他被岛民们称呼为“卡洛”。这是这座岛上特有的昵称，意思是“亲爱的邻人”。可是随着岁月流逝，有岛民怀疑阿尔特的真实身份，他因此离开了城镇。随后，星之民命令他夺走赋予岛民的热爱艺术之心。
1,ドメニコ,ほう、儂の曲に\n歌詞をつけてくれるのか？,哦？要给我的曲子\n填写歌词吗？
2,アルテ,うん。いつ出来上がるか\nわからないけど、いいかな？,嗯。虽然不知道\n什么时候才能写好。可以吗？
3,ドメニコ,もちろんだとも！\nどんな歌詞になるのか楽しみじゃな！,当然可以啊！\n很期待你会写出什么歌词。
4,,あれから自分なりに考えて、\n僕は歌詞作りに挑戦することにした。,从那时候起，我开始思考，\n尝试自己创作歌词。
5,,これも設定された気持ちなのかも\nしれないけど、僕だけの何かが\n作れるなら頑張りたいって思ったんだ。,或许这也是设定好的想法吧，\n我想要为了创造\n只属于我的东西而努力。
6,,でもそう都合良く書けるわけはなくて、\n僕はヒントを得ようと皆と過ごす日々に\n注意を向けるようになった。,不过也不能随随便便地写，\n我开始留意与大家相处的点滴，\n想从中得到一些启发。
8,ロレンツォ,ねぇ見て、カロ！\n新しい絵が描けたんだ！,看呀看呀，卡洛！\n我新画了一张画！
10,アルテ,うわぁ～、綺麗な花！\n見てるだけで香ってきそうだよ！,哇啊～，好漂亮的花！\n看着它好像就能闻到香味！
11,アルテ,でも<span class='scene-font-spword'>「カロ」</span>ってなんだい？\n僕のことを言ったんだよね？,不过<span class='scene-font-spword'>“卡洛”</span>是怎么回事？\n是在称呼我吧？
12,レナッタ,それはあだ名みたいなものよ。\nこの島ではよく使われるの。,这算是一种昵称吧。\n在这个岛上经常用到哦。
13,レナッタ,家族や友達、恋人なんて意味も\n含まれる言葉だけど……,可以指家人、朋友、恋人，\n这个词有很多含义……
14,レナッタ,呼びかけに使う時は、\n<span class='scene-font-spword'>「愛すべき隣人」</span>ってところ\nじゃないかしら。,用它称呼别人的时候，\n就是<span class='scene-font-spword'>“亲爱的邻人”</span>的意思吧。
15,アルテ,愛すべき隣人……\nへぇ、いい意味だね、カロ！,亲爱的邻人……\n哎，这个含义真好，卡洛！
16,レナッタ,私の場合は<span class='scene-font-spword'>カラ</span>よ。\nカロは男に使うの。,用来称呼我的话，要用<span class='scene-font-spword'>卡拉</span>。\n卡洛是指男性。
17,ドメニコ,儂のこともカロと呼んでくれて\n構わんぞ！,你叫老头子我卡洛\n也没关系的！
18,ロレンツォ,俺も俺も！,我也要、我也要！
19,アルテ,ふふっ、わかった！\n色んな人とカロやカラって\n呼び合いたいな。,呵呵，我懂了！\n真想用卡洛和卡拉来和大家互称呢。
20,,空の民はその豊かな心から\n本当に様々なものを生み出す。,从空之民那丰富的心灵中，\n确实诞生了多种多样的作品。
21,,絵画や音楽、彫刻といった芸術に、\n言葉や習慣といった文化……\nどれも尊くて美しいものばかりだ。,如绘画、音乐、雕刻一类的艺术，\n语言和习俗一类的文化……\n都是如此尊贵，如此美妙。
27,,最初は設定に従うだけだった僕も\nもっと空の民のことを知って、\n近づきたいと願うようになって……,最初只是遵循设定的我，\n也变得想要更加了解，\n更加亲近空之民了……
28,,お手本通りになぞるだけだった\n僕の筆は、音は、少しずつ、\nでも確かに色を得ていったんだ。,最初只是在模仿范本的\n我的画笔和音色，也缓缓地，\n但却确确实实地获得了色彩。
34,アルテ,あれ……？\n僕、ロレンツォに背を抜かされてる？,咦……？\n洛伦佐的身高超过我了？
35,ロレンツォ,育ち盛りだからな！\nへへっ、まだまだ大きくなるぞ～！,成长期嘛！\n嘿嘿，我还能继续长高呢！
37,レナッタ,大変よ！　ドメニコさんが……！,出大事了！　多梅尼科先生……！
39,,その日、ドメニコが死んだ。\n昼寝をしようと布団に入って、\nそのまま眠るように逝ったらしい。,那一天，多梅尼科死了。\n他似乎是钻进被窝打算睡个午觉，\n就这样睡着一般地离开了。
40,,状況を受け止められない間に\n葬式の準備が進められて、\nわけもわからないまま会場に行く。,在我还没弄清状况的时候，\n葬礼的准备完成了，\n我懵懂地去了会场。
41,,棺に入ったドメニコを見送りながら、\n皆泣き出した。\n僕だけが泣いてなかった。,为棺木中的多梅尼科送行时，\n大家都哭泣不止。\n除了我。
47,レナッタ,アルテ……あなたも泣いてもいいのよ。\n我慢は体に毒だわ。,阿尔特……你也哭一哭吧。\n忍耐对身体不好。
48,アルテ,ねぇ、死ぬって何？,那个，死是什么？
49,レナッタ,え……？,咦……？
50,アルテ,……ごめん。\nきっと変な質問なんだよね……,……对不起。\n这一定是很奇怪的问题吧……
51,,どうやら星の民は人が死んだ時の反応を\n僕に組み込み忘れたらしかった。,星之民似乎忘记给我设定\n人死的时候应该作何反应了。
53,,正しい反応を探してるうちに僕は\nドメニコから譲り受けた楽器を構えて、\nあの旋律を奏でていた。,我试图寻找恰当的反应，\n就架起多梅尼科赠送的乐器，\n弹出那段旋律。
54,レナッタ,懐かしい曲を弾くのね……,你弹的曲子真是令人怀念……
55,ロレンツォ,もうドメニコさんの新曲は\n聴けないんだよな。\n俺、ガキの頃から大好きだった……,再也听不到\n多梅尼科先生的新作了。\n我从小就特别喜欢他的曲子……
56,アルテ,ドメニコの新曲が聴けない……？\n<span class='scene-font-2'>そっか、ドメニコは、死……死……？</span>\n<span class='scene-font-2'>死んだ、から……？</span>,听不到多梅尼科的新曲子……？\n<span class='scene-font-2'>是啊，多梅尼科死……死了……？</span>\n<span class='scene-font-2'>因为他……死了……？</span>
58,アルテ,…………,…………
59,アルテ,もう……？,再也……？
60,アルテ,歌詞が出来ても、\nもう、伝えられない、んだ……,就算完成歌词，\n也不能给他看了……
61,アルテ,…………,…………
67,アルテ,…………！！！！！,…………！！！！！
68,アルテ,ぐすっ……うぅぅ……\nうあああああっ！！,呜呜……\n哇啊啊啊啊！！
69,,空の住人は目まぐるしいほど変化する。\n昨日まで当たり前にあったものが、\n刹那に溶ける雪のように消えていく。,空之住民令我眼花缭乱地变化着。\n直到昨天还理所当然存在的，\n刹那间便如融雪般消失无踪。
70,,あまりに呆気なく、瞬間的な終わりに\n僕は初めて声を上げて泣いた。\nけれど彼らには始まりもあって──,太过简单，太过突兀的离别\n令我第一次放声哭泣。\n然而有终点，就有起点——
77,ロレンツォ,生まれた……！\nうおおおお！！\n遂に生まれたぞ！！,生下来了……！\n哇啊！终于生下来了！
78,レナッタ,おめでとう、ロレンツォ。\n元気な女の子ですって。,恭喜你，洛伦佐。\n是个活泼的女孩子呢。
79,アルテ,君は父親になるのかい？\nちょっと前までこんなに小さな\n子供だったのに。,你当上父亲了吗？\n直到不久前，\n你还是这么小的小孩子呢。
80,ロレンツォ,何十年前の話してんだよ！\nああ、我慢出来ねぇ！\n赤ちゃんに会わせてくれ！,这都几十年前的事了！\n啊，我等不了了！让我去见宝宝！
82,,生まれて、成長して、老いて、死んで。,出生、成长、衰老、死亡。
83,,数十年という短い時を生きる中で、\n生きた爪痕を少しでも残そうと\n命や作品を生み出し、未来に繋ぐ。,在短短数十年的生涯里，\n尽可能地留下存在过的痕迹，\n创造生命和作品，留给未来。
84,,なんて愛おしい生き様だろう。\n設定かどうかも気にならなくなるほど、\n僕は空の民が大好きになっていった。,多么可爱的生存方式啊。\n我彻底喜欢上了空之民，\n再也不在乎这是否有设定的缘故了。
97,旅人,ほう、果物の絵か。\nなかなか上手く描けてるじゃないか。,哦？画了水果么。\n这不是画得很棒嘛。
98,アルテ,見て描くだけなら\n少しは様になってきたんだ。\nスピードも上がったしね。,边看边画，\n稍微有些心得了。\n速度也提升了呢。
99,旅人,そいつはなによりだ。\nところで作詞の方はどうなってる？,真是太好了。\n说到这个，你的歌词写得怎么样了？
