id,name,text,trans
1,カロ/卡洛,あけましておめでとう。\nもうこの挨拶も、\n随分板についた気がするよ。,新年快乐。\n总觉得这句问候\n我也说得越来越熟练了呢。
3,カロ/卡洛,というわけで、これをあげよう。\n僕から君へ、ええっと確か……\n「お年玉」ってやつだよ。,所以，给你这个。\n这是我给你的，呃，好像是叫……\n对了，“压岁钱”。
4,カロ/卡洛,ほら、僕とカンターテは\n新年のあいさつのために\nペルフェット島へ帰っていただろ？,你看，我和坎塔特\n为了给大家庆祝新年，\n不是回了一趟佩尔菲特岛吗？
5,カロ/卡洛,その時、島の子供達が\n家族からお年玉を受け取っているのを\n見てね。,那个时候，我看到岛上的孩子们\n从家人那里收到压岁钱。
6,カロ/卡洛,そんな習慣もあったなって思ったら、\n僕もやってみたくなったのさ。\nというわけで、遠慮なく受け取ってね。,原来还有这种习俗吗？\n我也想感受一下。\n所以，别客气，收下吧。
7,,姬塔がカロから\nお年玉を受け取ると、\nカロは満足そうにうなずいた。,姬塔从卡洛手里接过压岁钱，\n卡洛满足地点了点头。
8,カロ/卡洛,うん、これでよし。\nありがとう、君のおかげで\nお年玉を渡す体験ができたよ。,嗯，这样就好。\n谢谢，多亏了你，\n我体验到了发压岁钱的感觉。
9,カロ/卡洛,実は、カンターテにも\n渡そうとしたんだけど、\n断られちゃってさ。,其实，我也试图发给坎塔特，\n结果却被拒绝了。
10,カロ/卡洛,もう大人だから貰う立場じゃないって。\n僕からしたら、まだまだ\n子供みたいなものなのになあ……,她说她是大人，不能收。\n可在我看来，她明明还是小孩子呢……
info,,,scene_s3_newyear_3224_v1_0_2001_3_3040460000
译者,,,psyche
