id,name,text,trans
0-chapter_name,,原点怪奇,
0-synopsis,,ナルメアは、さらなる高みへの至り方を見失い悩んでいた。そこで姬塔のアドバイスに従い、長い間離れていた生家に帰ることに。両親のガムシラ、ラルナと再会ししばらく生家で過ごすことにしたナルメアだったが、そこにひとりの女性が現れ刀でナルメアに襲い掛かる。騒ぎを聞き姬塔達が駆け付けると、そこには幼い姿に変貌したナルメアの姿があったのだった。,
4,,ある時、姬塔一行は\n魔法と剣技を融合させた\n剣豪であるナルメアの噂を耳にする。,
5,,姬塔はその噂に興味を持ち、\nナルメアに会いに行く。,
9,ナルメア/娜尔梅亚,ねぇねぇ姬塔ちゃん！\n大丈夫？　お腹空いてない？\nお姉さんが果物とってこよっか？,
10,ナルメア/娜尔梅亚,あ、姬塔ちゃん！\nもしかしてちょっと肌寒い？\nお姉さんの上着、かそっか？,
11,,ナルメアは褒められたのを\nきっかけに姬塔一行に懐く。,
12,,姬塔は\nそんなナルメアを受け入れ、\n彼女を仲間に加えるのだった。,
13,,そして時は流れ──,
17,,ナルメアは憧憬の対象であった、\n遠縁である十天衆オクトーこと、\nザンバとの再会を果たす。,
18,,ザンバの背中を追い続け、\n修羅の如く鍛錬を積んだナルメアは、\n彼と真剣による対話を行うが──,
22,フュンフ/芬芙,カタナでお話なんて……！\n<span class='scene-font-4'>わっけわかんない！！</span>,
23,フュンフ/芬芙,ちゃんばらはちゃんばら！\nお話とは違うの！,
24,フュンフ/芬芙,それとも、ふたりは\n今ので何か分かったの！？\nじゃあ教えてよ！,
25,ナルメア/娜尔梅亚,っ……！,
26,フュンフ/芬芙,ちゃんと……\n言葉にしないと、ダメだよ。\n言葉が要らないわけないじゃん。,
27,フュンフ/芬芙,ナル姉ちゃん。\n本当はじっちゃにどうしてほしいの？\n言わなきゃ、伝わらないよ！,
28,ナルメア/娜尔梅亚,わ、私は……私は……！,
29,ナルメア/娜尔梅亚,ザンバ……\nずっとあなたに憧れてた！,
32,ナルメア/娜尔梅亚,小さい頃からずっと……！\nずっと憧れて……背中を追い続けた！,
35,ナルメア/娜尔梅亚,それも全部あなたに、\n認めてほしかったから……,
36,オクトー/奥克托,…………,
37,ナルメア/娜尔梅亚,だから強くなろうとした……\n強くなって、振り向いてほしかった。,
38,ナルメア/娜尔梅亚,けど、違うの。\n本当は、ただ……,
39,ナルメア/娜尔梅亚,ただ……\n名前を呼んでほしくて……\n遊んで、ほしかった……,
41,オクトー/奥克托,成程な。,
42,オクトー/奥克托,刃ではなく言の葉を\n交わすことを望むか。,
43,オクトー/奥克托,道極めんとする者が、\n言葉を求る……\nそれもまた良かろう。,
44,,十天衆フュンフの介入のおかげで\nナルメアはオクトーときちんと、\n言葉をもって分かり合う。,
45,,そしてついに彼女は\n歪んだ憧憬のしがらみから\n解放されるのだった。,
53,,だが……,
54,,薄暗い曇り空の下、\n冷たい風がナルメアと\n姬塔の肌を撫でる。,
55,,相対する二人はエモノを構え、\nただじっと、その時を待つ。,
57,ナルメア/娜尔梅亚,…………,
62,,刹那、ナルメアは姿を消した。,
63,,姬塔は視界の端で\n辛うじて捉えた彼女に向け、\n剣を構える。,
66,,彼女のエモノは姬塔の\n剣に触れる寸前で止まる。,
67,,確かに刃は触れていない。\nしかし彼女の振るった寸止めは\nそれだけで暴風を巻き起した。,
68,,姬塔は\n吹き飛ばされぬよう、\n必死に全身に力を込める。,
73,,気が付けば、\n陰鬱とした雲は消え去り、\n空が青く輝いていた。,
74,ナルメア/娜尔梅亚,お見事。,
74-sel1_txt,,こっちの台詞……,
74-sel2_txt,,まだまだだね,
76,ナルメア/娜尔梅亚,ふふふ、偶然だよ。\n寸止めだけで雲が吹き飛ぶ\nなんてことあるわけないよ。,
81,,しかし、過去に姬塔は\n彼女が空を揺蕩う雲を両断した所を\n目撃したことがあった。,
84,,それを踏まえて今の現象は\n彼女が巻き起こしたのだと\n断言できる──,
85,,……のだが、今の一撃には\nナルメアの迷いが見えた。,
86,ナルメア/娜尔梅亚,あはは……その顔……\nお姉さんが悩んでること……\nわかっちゃった……？,
88,ナルメア/娜尔梅亚,やっぱりすごいな、\n姬塔ちゃん。\n今のでわかっちゃったんだ。,
89,ナルメア/娜尔梅亚,実は高みへ繋がる道が……\n見えなくなっちゃったの。,
90,ナルメア/娜尔梅亚,お姉さんね、\n姬塔ちゃん達のおかげで\n自分の強さに気が付けたわ。,
91,ナルメア/娜尔梅亚,でも、それだけ。\nその先が、見えないの。,
92,ナルメア/娜尔梅亚,さらなる高みへ昇る方法が、\nザンバと会ってから\nわからなくなっちゃって……,
93,ナルメア/娜尔梅亚,どうしたら……\nお姉さんもっと強くなれるかな？,
94,,姬塔は強さを求める時、\n己の原点であるザンクティンゼルに\n帰ることがあるのだと伝えた。,
95,,自らが育った場所からならば、\n何か得られることがあるのかも、と、\n姬塔は言葉を付け足す。,
96,ナルメア/娜尔梅亚,私の育った場所……,
97,,姬塔は思案する\nナルメアに故郷で暮らす人々との\n再会も成長のきっかけになると言う。,
98,,しかし、ナルメアは\nその言葉を聞きバツが悪そうに、\n俯いてしまう。,
99,ナルメア/娜尔梅亚,でも……家を飛び出してから\nもう一度も帰ってないし……\n今更、会いに行くなんて……,
99-sel1_txt,,それなら、猶更だ,
101,,姬塔は\n家族に会えるのならば、\n会っておいた方がいいと告げる。,
102,ナルメア/娜尔梅亚,そ、そうかな……じゃあ、\nえっと……姬塔ちゃんも\n一緒についてきてくれるかな……？,
102-sel1_txt,,当然,
104,,そう姬塔が頷くと\nナルメアが抱き着いてきた。,
105,ナルメア/娜尔梅亚,姬塔ちゃん、\n姬塔ちゃん！\nありがとう、とっても心強いよ！,
106,,甘えるナルメアを宥めつつ、\n姬塔は彼女と共に\n彼女の実家へと向かう。,
110,ナルメア/娜尔梅亚,…………,
111,,ナルメアは\n目の前の古風な長屋門を\nゆっくりと押し開く。,
112,,古風な屋敷の玄関先で、\n軒先の花に水をあげていた女性が\n手に持った桶を落とした。,
113,？？？,わっ……そんな……\nウソ……？,
115,？？？,どうした、ラルナ。,
116,,女性の声を聞きつけてか、\n家から長身痩躯の男性が姿を現した。,
117,,そして女性と同じく、\n大きく目を開き、\nナルメアを見つめた。,
118,？？？,……帰ってきたか。,
119,ナルメア/娜尔梅亚,その……えっと、久しぶり……\nお父さん、お母さん。,
120,ナルメアの母,久しぶり、なんてものじゃない！\nもう、貴方が去って何年たつと……,
121,ナルメアの母,ああ、そんなこともうどうでもいいわ！,
122,,母と呼ばれた女性は\n懐かしさの余り涙を浮かべ、\nナルメアを抱きしめる。,
123,ナルメアの母,おかえりなさい。\nよく帰ってきたわね……,
124,ナルメア/娜尔梅亚,お母さん……,
125,ナルメアの父,憧憬の狂気の影に溺れ、\n修羅に堕ちたと諦めていた。\nだが……,
126,ナルメアの父,久方ぶりだ、ああ……\n本当に久方ぶりに……\nお前の顔が見られた。,
127,ナルメア/娜尔梅亚,お父さん……,
128,ナルメアの父,君か。,
129,,ナルメアに父と呼ばれた男は、\n姬塔に視線を移す。,
130,ガムシラ,己はガムシラ。\n妻の名はラルナと言う。,
131,,姬塔は軽く会釈すると、\nガムシラとラルナに名を告げた。,
132,ガムシラ,君なのだな。\n娘を修羅から人に戻してくれたのは。\n礼を言わねば。,
133,ラルナ,姬塔さん……\n本当に、ありがとう。,
134,,娘を抱きしめたまま\nナルメアの母は\n姬塔にお礼を告げる。,
135,ラルナ,でも、またどうして急に？\n……私達の顔が見たくなったの？,
136,ナルメア/娜尔梅亚,ずっと見たかったよ。\nけど、黙って出てきちゃったから。\nなかなか帰れなくて……,
137,ガムシラ,苦悩の末、\n帰る選択をとってくれたのか。\n嬉しい限りだ。,
138,ガムシラ,だが……,
139,ラルナ,それだけじゃないでしょ？,
140,ナルメア/娜尔梅亚,お見通し、だね。,
141,ガムシラ,……己らはお前の父と母だ。\n娘の迷いぐらい、わかるさ。,
142,ガムシラ,積もる話も迷える話も\n全て聞こう。,
143,ガムシラ,姬塔君。\n君からも話を聞きたい。,
144,ラルナ,ナルメアとのお話、\nたくさん聞かせてほしいな。,
145,,姬塔は頷き、\nナルメアの実家へ足を踏み入れる。,
149,,部屋の中に案内されると、\n姬塔はナルメアと共に\nこれまでの話を伝えた。,
160,,姬塔との出会い、\nそして旅の果てのザンバ──\nオクトーとの再会。,
161,,そして彼が可愛がるフュンフとの\n交流などあらゆる出来事を話した。,
164,ラルナ,あのザンバさんが……？\nお子さんを引き取った……！？,
165,ラルナ,ふふふ、そっか。\nザンバさんも丸くなったのね。,
