id,name,text,trans
0-chapter_name,,恐竜探偵ガチャピンの推理,恐龙侦探扭蛋平的推理
0-synopsis,,洞窟内に潜んでいた黒ムックを発見し、退治した姬塔一行。村人達は真犯人を目にし、
ムックを犯人扱いしてしまったことを謝罪するのだった。こうして一件落着と思われたが、ムックは無断で食料を貪ったことを一行に告白し謝罪する。それを聞き、一行は自分達も同じことをしたことがあると、その謝罪を受け入れるのだった。,一行人在洞窟里发现了躲藏着的黑木克，并将其退治了。村人们看到了真正的犯人后，为自己把木克当作犯人的一事谢罪了。虽然这事就此告一段落，但这时木克为他的擅自偷吃向一行人坦白谢罪了。听到了这么说的木克，一行人表示自己也做过同样的事，并接受了他的谢罪。
1,,<span class='scene-font-katari'>村人達は、姬塔一行が</span><br><span class='scene-font-katari'>退治した黒ムックを見て、</span><br><span class='scene-font-katari'>驚きを隠せないでいた。</span>,<span class='scene-font-katari'>村人们看到了姬塔一行人退治的黑木克后，</span><br><span class='scene-font-katari'>惊愕之情溢于言表。</span>
2,怒っている村人,は、はは……まさか本当に<br>黒いモジャモジャの毛のヤツが<br>いたとはな……,哈、哈哈……没想到<br>真的有一个黑色的毛乱蓬蓬的家伙在啊……
3,冷静な村人,ムックくんと言ったね。<br>すまなかった。<br>僕らは見当違いをしていたようだ。,你是叫木克吧。<br>对不起。<br>看来是我们搞错了。
4,ムック,いえいえ～<br>わかってもらえればいいんですよ～,没事没事～<br>你们理解了就最好了～
5,ルリア/露莉亚,でも、畑は残念でしたね……,但是，田里真的太可惜了……
6,冷静な村人,ははっ、長らく農家をやっていれば<br>こんなこともあるさ。<br>大丈夫。みんなでもう１度耕すよ。,哈哈，种了那么多年的地，<br>碰到这种事也是难免的。<br>没事。我们再耕一次就好了。
7,怒っている村人,ああ！<br>こんなことでへこたれるほど、<br>俺達はやわじゃないからな！,啊啊！<br>怎能因为这种事情被打倒，<br>我们也不是吃干饭的啊！
8,,<span class='scene-font-katari'>こうして、姬塔一行は</span><br><span class='scene-font-katari'>村人達に見送られ、</span><br><span class='scene-font-katari'>空に向かって飛び立つのだった。</span>,<span class='scene-font-katari'>就这样，姬塔一行人</span><br><span class='scene-font-katari'>在村民们的目送下，</span><br><span class='scene-font-katari'>再次踏上了前往天空的旅途。</span>
14,ムック,…………,
