id,name,text,trans
0-chapter_name,,導きの宛て,指引之地
0-synopsis,,よろず屋からの依頼を受け、とある街を訪れた一行。話によれば、その街で何か異変が起きているという。そこは一見何の変哲もない街であったのだが、魔物が現れても住民達は逃げようともせず、ただ茫然としているだけであった。住民達を守るため、姬塔達は魔物に立ち向かう。,行人接受了万事屋的委托来到了一个小镇上。听说这个小镇上有一些异常。一眼看上去似乎没什么异常，可镇民看到突然出现的魔物却无动于衷，呆呆的，也不逃跑，为了保护镇民姬塔一行人冲向魔物。
0,街人１/居民１,…………,…………
1,ネツァワルピリ,ふむ……<br>よろず屋殿からの依頼にあった街は、<br>この街で間違いないのであるな？,恩……<br>万事屋说的<br>就是这条镇吧？
2,ビィ/碧,おうさ！<br>でも、そんなに変な街にも<br>見えねぇけどなぁ……,是吧！<br>可是这里看起来<br>也没那么奇怪呀……
3,ルリア/露莉亚,でも、なんだか……<br>街に元気がないような……<br>ねぇ？　姬塔。,不过总觉得……<br>镇上的人都没什么精神的样子……<br>是吧？姬塔。
4,,<span class='scene-font-katari'>よろず屋の紹介で、</span><br><span class='scene-font-katari'>とある街を助けてほしい、</span><br><span class='scene-font-katari'>という依頼を受けた姬塔一行。</span>,<span class='scene-font-katari'>姬塔一行人</span><br><span class='scene-font-katari'>接受了万事屋的委托</span><br><span class='scene-font-katari'>去帮助一条镇上的住民。</span>
5,,<span class='scene-font-katari'>その街は、奇妙な予言者が現れて以来、</span><br><span class='scene-font-katari'>すっかり生気を</span><br><span class='scene-font-katari'>失ってしまったのだという。</span>,<span class='scene-font-katari'>这条镇自从</span><br><span class='scene-font-katari'>出现了奇怪的预言者之后</span><br><span class='scene-font-katari'>就变得毫无生机起来。</span>
6,街人２/居民２,…………,…………
7,ビィ/碧,普通に人も居るし……<br>オイラ達はいったい<br>この街で何をすりゃいいんだ？,居民也很正常……<br>我们到底<br>来这里做什么？
8,ネツァワルピリ,まずは依頼にあった、<br>予言者とやらを探そうではないか。,要不我们先找找<br>那个委托提到的依赖者。
9,ネツァワルピリ,ああ、そこのお主！<br>少々尋ねたいことがあるのだが……,啊啊那边那位！<br>我有事想请问你一下……
10,街人２/居民２,は……私ですか？,啊……我吗？
11,ネツァワルピリ,ああ。<br>何でもこの街には、<br>予言者殿がいるそうだが……,听说这镇上<br>有位预言者……
12,魔物,グオオォォッ！！,咕啊啊啊啊！！
13,ビィ/碧,げっ！？<br>魔物が出やがった！<br>構えろ！　姬塔！,啊！？<br>出现魔物了！<br>准备战斗！ 姬塔！
14,街人２/居民２,…………,…………
15,街人３/居民３,…………,…………
16,ルリア/露莉亚,ど、どうしたんですか！？<br>皆さん！<br>ここは危ないから逃げないと！,怎、怎么回事！？<br>大家这里<br>危险快跑！
17,街人１/居民１,…………,…………
18,ビィ/碧,おい！<br>なんで逃げねーんだよ！？,喂！<br>为什么不跑啊！？
19,ネツァワルピリ,これは明らかに、<br>何かがおかしいようであるな……,这里很明显<br>太奇怪了……
20,ネツァワルピリ,しかし、先に魔物の対処をせねばな！<br>手早く終わらせてしまおうぞ！<br>姬塔！,不过，还是尽快先把魔物！<br>给处理掉吧<br>姬塔！
info,,,scene_ult_chr007_ep2_q1_s10
译者,,,
