id,name,text,trans
0,ノイシュ/诺伊修,…………,…………
1,ノイシュ/诺伊修,……姬塔殿。,……姬塔。
2,ノイシュ/诺伊修,……スカーサハと一緒に、\nハロウィンを満喫しておられるのは\nよくわかります……,……我知道你和斯卡哈一起，\n尽情的享受了万圣节……
3,ノイシュ/诺伊修,……楽しそうな姬塔殿や\nスカーサハの姿を見るのは、\n私の喜びでもあります。,……看着姬塔和斯卡哈你们开心的样子\n我也觉得十分喜悦。
4,ノイシュ/诺伊修,……ただ……,……只是……
5,ノイシュ/诺伊修,どうか、悪戯の威力については\nご一考ください……,还请你们好好想想你们恶作剧的威力……
6,ノイシュ/诺伊修,私は随分丈夫な方だとは思いますが……\nこれが毎年となると、\nいつまでこの身がもつか……,虽说我觉得我还挺结实的……\n但要是每年都这样的话，总有一天……
7,ノイシュ/诺伊修,……どうか空の果てまで\n私が盾としてご一緒できるよう、\nお願いいたします……,……还请你们让我作为你们的盾，\n活着陪伴你们到天空的彼方吧……
info,,,scene_s4_halloween_2000_v4_0_2004_4_3040281000
译者,,,
