id,name,text,trans
0-chapter_name,,アニラ・オン・ザ・ビーチ,アニラ・オン・ザ・ビーチ
0-synopsis,,ある日、アニラは東海テイオー一行と共に<span class='scene-font-place'>アウギュステ</span>を訪れる。水着姿となったアニラは、東海テイオーやルリアやビィとビーチバレーやバナナボートで存分に遊び、大はしゃぎする。夕方、海の家で休息をとるアニラと東海テイオーは、今日１日を振り返りながら、水平線に沈みゆく夕日を満足げに眺めるのだった。,ある日、アニラは東海テイオー一行と共に<span class='scene-font-place'>アウギュステ</span>を訪れる。水着姿となったアニラは、東海テイオーやルリアやビィとビーチバレーやバナナボートで存分に遊び、大はしゃぎする。夕方、海の家で休息をとるアニラと東海テイオーは、今日１日を振り返りながら、水平線に沈みゆく夕日を満足げに眺めるのだった。
3,アニラ/阿妮拉,夏じゃ……,夏天……
4,アニラ/阿妮拉,海じゃ……,大海……
5,アニラ/阿妮拉,<span class='scene-font-place'>アウギュステ</span>じゃ～！,<span class='scene-font-place'>アウギュステ</span>！
11,,歳神のお役目を退いてから、\n東海テイオーたちと旅を続けて来た\n南南西の守護神、羊神アニラ。,完成了岁神的使命，\n与姬塔他们继续旅途的南南西的守护神，\n羊神阿妮拉。
17,,真夏の日差しを存分に浴びて\n浮かれきった水着姿のアニラは、\nアウギュステの海に向かって駆ける。,充分享受夏日阳光，\n穿着泳装的阿妮拉兴奋地冲向大海。
18,ビィ/碧,ははっ！　見ろよ東海テイオー！\n飛び跳ねて大はしゃぎしてるぜ！,哈哈！姬塔快看，\n她又蹦又跳的也太能闹腾了！
19,ルリア/露莉亚,あれ？　アニラさん、\nまだ日焼け止めを塗ってないんじゃ……,哎呀？阿妮拉\n是不是还没擦防晒霜呀……
20,アニラ/阿妮拉,おーい！　東海テイオー殿～！\nこっちじゃこっちじゃ～！,喂——！姬塔殿~！\n来这边来这边~！
21,,ブンブンと手を振るアニラに、\n日焼け止めを塗りに戻るように\n声をかける東海テイオー。,姬塔喊正在对自己蹦蹦跳跳的晃着手的阿妮拉\n回来擦防晒霜。
23,アニラ/阿妮拉,くふふふっ……！\n我としたことが、浮かれすぎて\n日焼け止めを忘れておったぞ～！,啊哈哈哈……！\n瞧瞧我，\n太兴奋了都忘了擦防晒霜了~！
24,アニラ/阿妮拉,事前の対策を怠ると\nお肌がピリピリして\n痛くなるんじゃったのう～！,如果不好好做事前准备的话，\n皮肤会皱皱的疼的~！
25,アニラ/阿妮拉,ぬりぬりぬりぬり～\n日焼け止め～\nぬりぬりぬりぬり……,抹一抹抹一抹\n抹一抹~防晒霜~\n抹一抹……
26,アニラ/阿妮拉,うむむむむ……,嗯嗯嗯嗯……
27,,日焼け止めを全身に塗っていた\nアニラは、背中に手が届かずに\n困っている。,想在全身涂防晒霜的安妮拉，\n因为够不着后背而困惑着。
30,アニラ/阿妮拉,すまぬが……\n誰か我の背中に日焼け止めを\n塗ってくれんかのう？,不好意思……\n谁能帮我涂一下后背吗？
31,ルリア/露莉亚,あっ！\nじゃあ私が塗りますよ！,啊！\n那我来帮你涂防晒霜吧！
32,アニラ/阿妮拉,おお！　助かったぞ！\nでは頼んでもよいかの～！,哦哦！帮大忙了！\n那就拜托你啦~！
33,,アニラの背中に満遍なく\n日焼け止めを塗るルリア。,露莉亚开始在\n阿妮拉的后背上涂防晒霜。
34,,アニラの背後に忍び寄る\n東海テイオーは、日焼け止めを\nつけた手をその背に伸ばした。,悄悄靠近阿妮拉的背后\n姬塔把涂了防晒霜的手\n伸到了她的背上。
35,アニラ/阿妮拉,うひゃあッッ！\nな、何じゃ東海テイオー殿か！,哎呀！\n你干什么啊姬塔殿！
36,アニラ/阿妮拉,いきなり触られて驚いたぞ！\nそなたの厚意は有り難いが\nせめて事前にひと言……,突然碰了一下，吓了我一跳！\n谢谢你的厚意，不过\n至少要事先说一句话……
37,アニラ/阿妮拉,あははははあっ！　いひゃ……！\nいひゃひゃひゃあっ！　うはっ……\nうひひひひひゃあっ！　,哈哈哈！哎呀……！\n哎呀哎呀！哇哈哈……\n哎呀哎呀！
38,,そのまま東海テイオーに\n脇腹をくすぐられて\n悶絶するアニラ。,就这样被姬塔胳肢了\n侧腹\n闷绝的阿妮拉
39,アニラ/阿妮拉,こっ……コラーッ！\n悪戯はやめるんじゃ！,喂……喂！\n不要再恶作剧了！
40,アニラ/阿妮拉,ってやめっ……やめてぇ！\nやめひぇくだしゃいっ……！,住手……住手！\n请住手……！
46,,日焼け止めを塗りおえた一行は、\n満を持して海水浴に臨む。,仔细涂好防晒霜后，\n一行人准备进行海水浴
47,アニラ/阿妮拉,ん……そうじゃそうじゃ！\n大事なことを忘れておった！,嗯……啊对了对了！\n我都把这么重要的事给忘了！
48,,そう言うなり、アニラは\n羊たちを召喚する。,一边这么说着，阿妮拉\n一边开始召唤小羊们。
50,羊たち,ンメェェェェッ！,咩咩咩咩！
51,アニラ/阿妮拉,くふふふっ！\nお主らも自由に\nバカンスを楽しむとよい！,哈哈哈！\n你们也出来享受享受，\n开心的玩吧！
52,羊たち,ンメェェェェッ……？,咩咩咩咩……？
53,アニラ/阿妮拉,ん……なに？\n我と共に遊びたいと？,嗯，什么？\n想跟我一起玩？
54,アニラ/阿妮拉,くふふっ！\n愛いヤツらよの～！\nでは皆で遊ぶとするか～！,啊哈哈！\n你们这群可爱的小家伙~！\n那大家一起玩吧！
55,,そうして、アニラの羊たちも\n東海テイオーたちに混ざって\n遊ぶことになるのだった。,就这样，\n阿妮拉的小羊们也和姬塔他们混在一起玩了。
60,アニラ/阿妮拉,では我から行くぞ！\nほーれいっ！,好，那就由我先来！\n吼~类！
61,,アニラからのパスを\n受けた東海テイオーは、\nボールをビィの方へ送る。,从阿妮拉那接到传球，\n姬塔反手传给了碧。
62,ビィ/碧,おっしゃあ！\nルリアにパスだぜ！,好！\n我传给露莉亚！
64,ルリア/露莉亚,ああっ！\n届きませんっ！,啊啊！\n我接不到！
66,羊たち,ンメエーッ！,咩咩！
68,羊たち,……ンメエッ！,……咩咩！
69,アニラ/阿妮拉,ナイスカバーじゃっ！,防的好！
70,,東海テイオーたちがビーチボールで\n遊んでいると、何かを牽引しながら\n沖を走り抜ける小型船が目に入った。,姬塔他们正玩着沙滩排球，\n突然看到了一个小船\n正拉着什么东西开过来。
71,アニラ/阿妮拉,ん……\n今のは何じゃ？,嗯……\n刚才那是什么？
