id,name,detail
npc,瓦姬拉,3040147000
special,金牙神然,水属性伤害(特大)/我方全体获得强化效果　★累积后效果UP
special-犬衣無縫,犬衣无缝,水属性伤害(特大)/我方全体获得强化效果　★累积后效果UP
special-Barksplosion!,犬衣无缝,水属性伤害(特大)/我方全体获得强化效果　★累积后效果UP
skill-1,大口真神,对敌方全体造成水属性伤害/弱化效果抗性DOWN(累積)
skill-2,犬牙相制,赋予敌方单体恐惧效果
skill-3,飞鹰走狗,<div class=prt-text-small>一回合行动两次/与卡尔加纳一起战斗　<span class=text-blue>◆消耗30％奥义值</span></div>
support-1,犬神宮之主,奥义值的最大值增加
support-2,仁义八行,奥义连击时，根据连击数增加自身的奥义值
skill-lb,LB技能,卡尔加纳在场时，连击率UP
intro,西北西的守护神,守护西北西方位，十二神将之一。身为半身的嘉尔加纳伴随左右，犬神优雅地追求着强大的尽头。少女作为斗神驰名天下，她无垢的心倾听着满溢于天地间各种声音，一定能可靠地指引众人的旅途。
